제목,가사,가수,발매일,좋아요수,장르
회상,"길을 걸었지 누군가 옆에 있다고
느꼈을땐 나는 알아버렸네
이미 그대 떠난 후라는걸
나는 혼자 걷고 있던거지
갑자기 바람이 차가워지네
마음은 얼고 나는 그 곳에서서
조금도 움직일 수 없었지
마치 얼어버린 사람처럼
나는 놀라서 있던거지
달빛이 숨어 흐느끼고 있네
우 떠나버린 그 사람 우 생각나네
우 돌아선 그 사람 우 생각나네
묻지 않았지 왜 나를 떠나느냐고
하지만 마음 너무 아팠네
이미 그대 돌아서 있는 걸
혼자 어쩔 수 없었지
미운건 오히려 나였어
우 떠나버린 그 사람 우 생각나네
우 돌아선 그 사람 우 생각나네
묻지 않았지 왜 나를 떠났느냐고
하지만 마음 너무 아팠네
이미 그대 돌아서 있는 걸
혼자 어쩔 수 없었지
미운건 오히려 나였어
미운건 오히려 나였어",jc.One,2022.12.29,17,발라드
오늘도 어김 없이,"수많은 날 달려왔죠
그댈 만나기 위해
말도 없이 찾아온게
부담이라면 사과드릴게요
그대여 미안해요
수많은 날 기도했죠
그댈 만나기 위해
하지만 그대는 애써
창을 꼭 닫네요
그대 눈에 비친
나의 모습이 싫었는지
내가 어떻게 그댈
사랑할 수 있나요
사랑해
사랑해 그대여
이만 돌아갈게요",이혁준,2012.12.21,82,발라드
항상 바쁜 너에게,"어렸을 적 난
도도하고 새침하고
그런 줄로만 알았지
몇 명 안되는 나를 좋아해 준
친구들에게 눈길 주지 않았어
그랬던 내가
초조하고 조급하고
그럴 줄 누가 알았니
몇 통 안되는 네가 보낸 문자
보고 또 보고 되풀이 하고 있어
얼굴을 못 보니 마음을 못 읽어
답장은 왜 이리 짧게만 보내니
시간이 없는지 마음이 없는지
내가 널 너무 보채고 괴롭히니
마음이 없는지 그냥 바쁜건지
내가 이렇게 안절부절 못하지
그랬던 내가
초조하고 조급하고
그럴 줄 누가 알았니
집중도 안 돼
아무것도 못 해
가슴 한구석이 자꾸 허전해서
얼굴을 못 보니 마음을 못 읽어
답장은 왜 이리 짧게만 보내니
시간이 없는지
마음이 없는지
내가 널 너무 보채고 괴롭히니
마음이 없는지 그냥 바쁜건지
내가 이렇게 안절부절 못하지
아무리 바빠도
시간이 없어도
내가 바라는 거 별거 아니잖아
마음이 있다면
정말 아낀다면
나라면 이 정도 할 수 있을 거야",오은비,2012.12.21,"1,310",발라드
Love,"Love I can offer so much
love to you
I can do so much more to
please you um hum
Love I can even feel it in
the dark
feeling my heart’s only in
your mind um hm
Love you I Love you I'll
always do
in the night When you're
all alone
and on the times you need
someone
you made me see love all
around the world
your love in my heart blinds
me but helps me see through
my heart
Love at times love hurts
me real bad
But I always end up loving
you again hm
Love you I Love you I'll
always do
in the night When you're
all alone
and on the times you need
someone
you made me see love all
around the world
your love in my heart blinds
me but helps me see through
my heart
Love at times love hurts
me real bad
But I always end up loving
you again hm",우즈,2012.12.21,9,발라드
련,"그리 쉽지 않을거란걸
누구보다도 더 잘알지만
제맘 하나 가눌수 없는
서글픈 영혼부디 원을 다오
내 지나온 삶을 하늘이 벌하여
다시 그대곁에서 함께할
수 없다면
널 모를때처럼 그렇게 웃기를
그것이 내가 마지막 바란일인걸
만약 이게 실수라 해도
그대를 원망할 생각 따윈 없어
이 남은 시간에 이별을 고하는
조금은 불안한 나를 지금
알아주오
보고 있다면 그대 보고있다면
나를 붙잡는 두려움을 먼저
데려가 주오
지나온 삶을 하늘이 벌하여
다신 그대 곁에서 함께할
수 없다면
너 모를때처럼 그렇게 웃기를
그것이 내가 마지막 바란일인걸",래인,2012.12.21,19,발라드
눈물이 빗물처럼,"그대 나없이 괜찮았나요
날 원망했나요 그리웠나요
시간이 흘러 또 다른 사랑에
날 지웠나요 그런가요
지나간 기억 속의 그대 미소
항상 그대론데
이젠 아픈 눈물만 남아
멀리 사라져가네
눈물을 거둬요
슬퍼 말아요
나 견딜 수 없어
내 맘도 따라 우네요
사랑한다는 말도 못하는
이런 나를 용서해
지나간 기억 속의 그대 미소
항상 그대론데
우리 추억 안개 속으로
멀리 사라져가네
눈물을 거둬요
슬퍼 말아요
나 견딜 수 없어
내 맘도 따라 우네요
사랑한다는 말도 못하는
이런 나를 용서해
참았던 눈물이 빗물처럼
내 심장에 흘러 내린다
나 이제는 그댈 떠나보내지 않아
기나긴 어둠에 숨 쉴 수 없어
나 가슴이 아파 쓰러질 것만 같은데
그댄 아무렇지도 않나요
나를 봐요 내 눈을 바라봐
눈물을 거둬요
슬퍼 말아요
나 견딜 수 없어
내 맘도 따라 우네요
사랑한다는 말도 못하는
이런 나를 용서해
그대를 나 사랑해",윤지훈,2012.12.21,188,발라드
믿지 못하고 (Narr. 01051142104),"몇번을 사랑을하고 몇번을
헤어져보고
너를 만나서 그래서 더 시작을
망설였나봐
어쩌면 하는 생각에 어쩌면
하는 기대에
어렵게 다시 네게 맘을 연거야
나를 맡겼다
독한 운명에 떠미는너 피도
눈물도 없는사람
믿지 못하고 내게 미안해 한마디
말로만 끝내려해
사랑때문에 살것같다 이별
때문에 죽고싶다
설마했던 맘은 또 보란듯이
속이잖아
아직도 믿지 못해서 오늘도
잊지 못하고
이순간에도 날카로운 기억에
가슴 베인다
인연을 거슬러간 너 연인을
떠나보낸 나
하루 온종일 추억이된 사진만
꺼내어본다
독한 운명에 떠미는너 피도
눈물도 없는사람
믿지 못하고 내게 미안해 한마디
말로만 끝내려해
사랑때문에 살것같다
이별 때문에 죽고싶다
설마했던 맘은 또 보란듯이
속이잖아
내 사랑아 가버려라
그래 차라리 오지마라 결국
쉽게 떠날거라면
믿지 못하고 내게 다가와 남은건
눈물만 덩그러니
사랑 하는게 참 무섭다 사랑
받는게 참 두렵다
많이 외로워도 더이상은
사랑안해
이런 다짐해도 난 사랑에
또 속겠지",시내,2012.12.24,18,발라드
눈물 (원곡가수 리아),"이럴줄은 몰랐어 사랑을 느꼈어
떠난다는 그 말에
나 울어 버린거야
내겐 그런 슬픈 일이
없을 줄 알았었는데
울었어 눈물을 참지 못해 울었어
부은 눈을 감고 잠이 들었어
미칠 것만 같았어
하늘도 울고만 있어
이런게 이별인 줄 몰랐던 거야
우리 처음 만난 날
기억하고 있어
이제 너를 본다는 건
욕심이 되버린거야
혼자 남아 버렸어
믿을 수 없었어
세상이 날 버리고
모두 날 버린거야
나는 지쳐만 가는데
이젠 어떻게 살라고
울었어 눈물을 참지 못해 울었어
부은 눈을 감고 잠이 들었어
미칠 것만 같았어
하늘도 나처럼 울고만 있어
이런게 이별인 줄 몰랐던 거야
혼자 남아 버렸어
믿을 수 없었어",박미영,2012.12.21,42,발라드
아침을 하루를 (Feat. Urban Hz 니화 Of 413),"아침을 하루를 같이
시작하는 걸
all right
매일매일 네 생각에
잠겨 네가 잠이든
시간에 내 품에 안겨
내 품에 내 꿈에
너를 가두고 싶어
that’s right
너와 함께라면
all night long
24 7 너와 함께 난
heaven girl
눈 앞에 있으면
나도 모르게 심장이
두근두근해
참 안절부절 못해
같이 있어 좋다고
수줍은 너의 고백에
사르르르르 얼었던
맘이 녹는걸
Don't be shy my girl
서두르지 않아도
늘 옆인 걸
늘 옆인걸 말하지
않아도 네 옆인걸
Don't be love my girl
너도 알고 있잖아
내 사랑을 멈출 수가 없는 걸
아침을 하루를
같이 시작하는 걸
제발
let it let it be me
let it be me
내 품에
내 꿈에 너를
가두고 싶어
I can do it do it with you
do it do it with girl
내 무릎에 누워
날 바라보는 얼굴엔
방그르르르 미소만
가득한 너
don't be shy my girl
깨물어 주고 싶어요
네가 웃을 땐
네가 웃을 때
나는 전부를
가진 것 같은데
don't be love my girl
너도 알고 있잖아
내 사랑을 멈출 수가 없는 걸
아침을 하루를
같이 시작하는 걸
제발
let it let it be me
let it be me
내 품에
내 꿈에 너를
가두고 싶어
I can do it do it with you
do it do it with girl
ye I just wanna know u right
my life for luv
it is all about u listen
말해도 몰라요
얼마나 좋은데
욕심은 없어요
그냥 이대로만 머물러요
아침을 하루를
같이 시작하는 걸
제발
let it let it be me
let it be me
내 품에
내 꿈에 너를
가두고 싶어
I can do it do it with you
do it do it with girl",Ohwon Lee (진짜사나이),2012.12.27,30,발라드
그대가남아있죠,"내마음속에
남아있는 사람
그사람
아직도 미련이 남아
그대가 생각이나요
혼자누워서
너의 사진을 계속보고
이름을 불러도 보고
눈물을 흘리지만
잊어요 내 마음속에
있는 널 눈물참고
떠나요
넌 내옆을 떠났지만
아직 마음에 그대가
남아있을 뿐이죠
혼자누워서
너의 사진을 계속보고
이름을 불러도 보고
눈물을 흘리지만
잊어요 내 마음속에
있는 널 눈물참고
떠나요
넌 내옆을 떠났지만
아직 마음에
잊어요 내 마음속에
있는 널 눈물참고
떠나요
널 이제는 잊을께요
그대 떠나가
그대가 남아있을 뿐이죠
아직도 내맘엔
그대가있죠",성운,2012.12.28,16,발라드
