,제목,가사,장르
0,벚꽃 엔딩,"그대여 그대여 그대여
그대여 그대여
오늘은 우리 같이 걸어요 이 거리를
밤에 들려오는 자장노래 어떤가요
오예
몰랐던 그대와 단 둘이 손 잡고
알 수 없는 이 떨림과 둘이 걸어요
봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
우우 둘이 걸어요
봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
우우 둘이 걸어요
오예
그대여 우리 이제 손 잡아요
이 거리에 마침 들려오는
사랑 노래 어떤가요
오예
사랑하는 그대와 단 둘이 손잡고
알 수 없는 이 거리를 둘이 걸어요
봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
우우 둘이 걸어요
봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
우우 둘이 걸어요
바람 불면 울렁이는 기분 탓에
나도 모르게
바람 불면 저편에서 그대여
니 모습이 자꾸 겹쳐
오 또 울렁이는 기분 탓에
나도 모르게
바람 불면 저편에서 그대여
니 모습이 자꾸 겹쳐
사랑하는 연인들이 많군요
알 수 없는 친구들이 많아요
흩날리는 벚꽃 잎이 많군요 좋아요
봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
우우 둘이 걸어요
봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
우우 둘이 걸어요
그대여 그대여 그대여
그대여 그대여",록/메탈
1,기억을 걷는 시간,"아직도 너의 소리를 듣고
아직도 너의 손길을 느껴
오늘도 난 너의 흔적 안에 살았죠
아직도 너의 모습이 보여
아직도 너의 온기를 느껴
오늘도 난 너의 시간 안에 살았죠
길을 지나는
어떤 낯선이의 모습속에도
바람을 타고 쓸쓸히
춤추는 저 낙엽위에도
뺨을 스치는 어느 저녁의
그 공기속에도
내가 보고 듣고 느끼는
모든 곳에 니가 있어
그래 어떤가요
그대 어떤가요 그댄
당신도 나와 같나요
어떤가요 그대 지금도
난 너를 느끼죠 이렇게
너를 부르는 지금 이순간도
난 그대가 보여
내일도 난 너를 보겠죠 내일도
난 너를 듣겠죠 내일도
모든게 오늘 하루와 같겠죠
길을 지나는
어떤 낯선이의 모습속에도
바람을 타고 쓸쓸히
춤추는 저 낙엽위에도
뺨을 스치는 어느 저녁의
그 공기속에도
내가 보고 듣고 느끼는
모든 곳에 니가 있어
그래 어떤가요
그대 어떤가요 그댄
당신도 나와 같나요
어떤가요 그대
길가에 덩그라니 놓여진
저 의자위에도
물을 마시려 무심코
집어든 유리잔 안에도
나를 바라보기위해
마주한 그 거울속에도
귓가에 살며시
내려앉은 음악속에도
니가있어
어떡하죠 이젠 어떡하죠 이젠
그대는 지웠을텐데
어떡하죠 이젠 우린
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
어떡하죠 이젠
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라라
어떡하죠 이젠
그리움의 문을 열고
너의 기억이 날 찾아와
자꾸 눈시울이 붉어져
어떡하죠 이젠
그리움의 문을 열고
너의 기억이 날 찾아와
자꾸만 가슴이 미어져
어떡하죠 이젠
그리움의 문을 열고
너의 기억이 날 찾아와
자꾸 눈시울이 붉어져
어떡하죠 이젠
그리움의 문을 열고
너의 기억이 날 찾아와
자꾸만 가슴이 미어져
어떡하죠 이젠
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라
랄라라 라랄라랄라",록/메탈
2,안아줘,"서러운 맘을 못 이겨
잠 못 들던 어둔 밤을 또 견디고
내 절망관 상관없이
무심하게도 아침은 날 깨우네
상처는 생각보다 쓰리고
아픔은 생각보다 깊어가
널 원망하던 수많은 밤이
내겐 지옥같아
내 곁에 있어줘 내게 머물러줘
네 손을 잡은 날 놓치지 말아줘
이렇게 니가 한걸음 멀어지면
내가 한걸음 더 가면 되잖아
하루에도 수천번씩
니 모습을 되뇌이고 생각했어
내게 했던 모진 말들
그 싸늘한 눈빛 차가운 표정들
넌 참 예쁜 사람 이었잖아
넌 참 예쁜 사람 이었잖아
제발 내게 이러지 말아줘
넌 날 잘 알잖아
내 곁에 있어줘 내게 머물러줘
네 손을 잡은 날 놓치지 말아줘
이렇게 니가 한걸음 멀어지면
내가 한걸음 더 가면 되잖아
내겐 내가 없어 난 자신이 없어
니가 없는 하루 견딜 수가 없어
이젠 뭘 어떻게 해야 할지
모르겠어 니가 없는 난
그냥 날 안아줘 나를 좀 안아줘
아무 말 말고서 내게 달려와줘
외롭고 불안하기만 한 맘으로
이렇게 널 기다리고 있잖아
난 너를 사랑해 난 너를 사랑해
긴 침묵 속에서 소리 내 외칠게
어리석고 나약하기만 한 내 마음을",록/메탈
3,"스물다섯, 스물하나","바람에 날려 꽃이 지는 계절엔
아직도 너의 손을 잡은 듯 그런 듯 해
그때는 아직 꽃이 아름다운 걸
지금처럼 사무치게 알지 못했어
우 너의 향기가 바람에 실려 오네
우 영원할 줄 알았던
스물다섯 스물하나
그 날의 바다는 퍽 다정했었지
아직도 나의 손에 잡힐 듯 그런 듯 해
부서지는 햇살 속에 너와 내가 있어
가슴 시리도록 행복한 꿈을 꾸었지
우 그날의 노래가 바람에 실려 오네
우 영원할 줄 알았던
지난날의 너와 나
너의 목소리도 너의 눈동자도
애틋하던 너의 체온마저도
기억해내면 할수록 멀어져 가는데
흩어지는 널 붙잡을 수 없어
바람에 날려 꽃이 지는 계절엔
아직도 너의 손을 잡은 듯 그런 듯 해
그때는 아직 네가 아름다운 걸
지금처럼 사무치게 알지 못했어
우 너의 향기가 바람에 실려 오네
우 영원할 줄 알았던
스물다섯 스물하나
우 그날의 노래가 바람에 실려 오네
우 영원할 줄 알았던
지난날의 너와 나
우
우
우 영원할 줄 알았던
스물다섯 스물하나
스물다섯 스물하나",록/메탈
4,사랑했나봐,"이별은 만남보다 참 쉬운 건가봐
차갑기만 한 사람
내 맘 다 가져간걸 왜 알지 못하나
보고싶은 그 사람

사랑했나봐 잊을 수 없나봐
자꾸 생각나 견딜수가 없어
후회하나봐 널 기다리나봐
또 나도 몰래 가슴 설레어와
저기 널 닮은 뒷 모습에

기억은 계절따라 흩어져 가겠지
차갑기만 한 사람
빈 가슴 애태우며 난 기다리겠지
어설픈 내 사랑은

사랑했나봐 잊을수 없나봐
자꾸 생각나 견딜 수 가 없어
후회 하나봐 널 기다리나봐
또 나도 몰래 가슴 설레어와
저기 널 닮은 뒷 모습에

기억은 계절따라 흩어져 가겠지
차갑기만 한 사람
빈 가슴 애태우며 난 기다리겠지
어설픈 내 사랑은

못되게 눈 돌리며 외면한
니 모습 모른 척 할래
한번쯤은 날 뒤돌아 보며
아파했다 믿을래

바보인가봐 한마디 못하는
잘 지내냐는 그 쉬운 인사도
행복한가봐 여전한 미소는
자꾸만 날 작아지게 만들어
멀어지는 니 모습처럼

언젠가 다른사람 만나게 되겠지
널 닮은 미소짓는
하지만 그 사람은 니가 아니라서
왠지 슬플 것 같아
잊을 수 없는 사람 -",록/메탈
5,Emergency (Ver. 2),"후회 하고 있어요
우리 다투던 그 날
괜한 자존심 때문에
끝내자고 말을 해버린거야
금방 볼줄 알았어
날 찾길 바랬어
허나 며칠이 지나도
아무소식 조차 없어
항상 내게 너무 잘해줘서
쉽게 생각했나봐
이젠 알아 내 고집때문에
힘들었던 너를
이 바보야 진짜아니야
아직도 나를 그렇게 몰라
너를 가진 사랑 나밖에 없는데
제발 나를 떠나가지마

언제라도 내 편이 되준너
고마운줄 모르고
철없이 나 멋대로 한거
용서할수 없니
이 바보야 진짜아니야
아직도 나를 그렇게 몰라
너를 가진 사랑 나 밖에 없는데
제발 떠나가지마
너하나만 사랑하는데
이대로 나를 두고 가지마
나를 버리지마 그냥 날 안아줘
다시 사랑하게 돌아와",록/메탈
6,남자를 몰라,"매번 늦어도 이해 할게
누굴 만났니
먼저 묻지 않을게
고집스런 내 사랑
너의 말은 변명이라도
믿고 싶을테니
눈 비비는척 눈물 닦아내고
다음 약속도
잡을 이유 만들지
네 맘보다 한숨과 친해져도
널 보기위해 난 사니까
수없이 어긋난대도 기다릴게
아무리 가슴아파도 웃어볼게
떠나선 안돼
서둘러 저버리진 마
날 밀어내도
깊어지는 이 사랑을 봐
내 입을 막아도
세상이 다 아는데
왜 너만 몰라
왜 널 지킬 남자를 몰라
잊어보려고 해도 소용없어
하루도 못 가
너만 또 찾는 나인걸
혼자가 더 좋다는 슬픈 네 말
눈물이 자꾸 지워버려
수없이 어긋난대도 기다릴게
아무리 가슴아파도 웃어볼게
떠나선 안돼
서둘러 저버리진 마
날 밀어내도
깊어지는 이 사랑을 봐
내 입을 막아도
세상이 다 아는데
왜 너만 몰라
왜 널 지킬 남자를 몰라
네 맘에 누가 있든 괜찮아
한번쯤 못 이긴 척 돌아봐
보여줄게 더 많아
쉽게 보낼 수 없어
가지마
널 원해야만
견뎌내는 내 가슴이야
날마다 울어도
볼 때마다 행복해
왜 너만 몰라
왜 강한 내 사랑을 몰라",록/메탈
7,겨울을 걷는다,"벌써 몇 달 짼가
너 만난다는 그 사람
얘길 들었어
아마 뭔 일이
있었나 저쨌나
떠들어대던 심보가
이젠 여기까지
발동해서 널
떠올리게 됐나봐
또 어쩌다 친구들에게
그 시절 얘길 들어도
내가 한 마디 못한 너를
멋대로 막돼먹게
말을 맘대로 막해
막 때리지도 못해 내 자신을
난 그게 문제였어
너와 이별에
난 버린 것이 많고
찾을 것이 많고
가는 마음마다
머물지를 잘 못해
사랑했던 시간
널 좋아했던
그 많은 아픈 날을 걸었네
너와 이별은
또 많은 날을 울게 만들었어
이젠 모두 지난 얘기지만
시간이 지난 난
처음 널 만났던
그 겨울 속을 걸어가
눈물없인 볼 수 없다던
한참 인기 많은
영화를 봤어
아마 주인공이 죽었나 저쨌나
떠들어대는 사람들
아마 둘은 다신 볼 수 없었지
그건 영화이니까
오 내 주변에
여자가 많단 그런
헛소릴 듣고
웃을 때가 아니야
아니 왜 내 얘길
내가 맘대로 못해
변명도 못해 남탓도 못해
암말도 못해 웃어 이자식이
난 그게 재미없어
너와 이별에
난 버린 것이 많고
찾을 것이 많고
가는 마음마다
머물지를 잘 못해
사랑했던 시간 널 좋아했던
그 많은 아픈 날을 걸었네
너와 이별은
또 많은 날을 울게 만들었어
이젠 모두 지난 얘기지만
시간이 지난 난
처음 널 만났던
그 겨울 속을 걸어가
걷다보면 시간이 말하겠지
그 겨울 속을 걸어가
걷다보면 마음이 말해주겠지
너와 이별은
참 버린 것이 많던
찾을 것이 많던
가는 마음 따라
흘러갔던 시간이
내게 줬던 아픈
힘들었었던
모든 걸 참으라고 말했네
너와 이별은
더 꺼내지도 않는
말이 돼버린걸
이젠 모두 지난 얘긴거야
시간이 지난 난
시간이 지난 난
그 겨울 속을 걸어가",록/메탈
8,겁쟁이,"미안합니다
고작 나란 사람이
당신을 미친 듯 사랑합니다
기다립니다
잘난 것 하나 없는데
염치없이 당신을 원합니다
세상을 더 헤매어 봐도
눈을 더 크게 뜨고 찾아도
당신은 단 하나란 걸 알아서
내가 꼭 갖고 싶지만
날 사랑해줘요
날 울리지마요
숨 쉬는 것보다
더 잦은 이 말 하나도
자신 있게 못하는
늘 숨어만 있는
나는 겁쟁이랍니다
미안합니다
미련한 미련 때문에
내 손으로 당신을 못 놉니다
내 눈에 당신이 박혀서
다른 무엇도 볼 수 없어서
가슴에 옮겨와 달라는 말도
이젠 해보고 싶지만
날 사랑해줘요 날 울리지마요
숨 쉬는 것보다
더 잦은 이 말 하나도
자신 있게 못하는
늘 숨어만 있는
나는 겁쟁이랍니다
조금씩 커져가는 사랑은
한 번씩 나도 몰래
새어 나와서
길을 잃은 아이처럼
울고 보채도
터진 내 맘은 모르겠죠
눈을 감지 마요
나를 바라봐요
당신의 귓가에
다가가 말하려 해도
당신 앞에 설 때면
뒷걸음만 치는
그저 난 겁쟁이랍니다
그대만 나는 기다립니다",록/메탈
9,여수 밤바다,"여수 밤바다 이 조명에 담긴
아름다운 얘기가 있어
네게 들려주고파 전활 걸어
뭐하고 있냐고
나는 지금 여수 밤바다 여수 밤바다
아 아 아 아 아 아 아
너와 함께 걷고 싶다
이 바다를 너와 함께 걷고 싶어
이 거리를 너와 함께 걷고 싶다
이 바다를 너와 함께 걷고 싶어
여수 밤바다
여수 밤바다 이 바람에 걸린
알 수없는 향기가 있어
네게 전해주고파 전활 걸어
뭐하고 있냐고
나는 지금 여수 밤바다 여수 밤바다
아 아 아 아 아 아 아
너와 함께 걷고 싶다
이 바다를 너와 함께 걷고 싶어
이 거리를 너와 함께 걷고 싶다
이 바다를 너와 함께 너와 함께 오
바다 이 조명에 담긴
아름다운 얘기가 있어
네게 들려주고파 전활 걸어
뭐하고 있냐고
나는 지금 여수 밤바다 여수 밤바다
아 바다 아아아 하아아아
하아오오 하 아아아 허오 아아아아
뭐하고 있냐고 나는 지금
여수 밤바다",록/메탈
