,제목,가사,장르
0,Rush Hour (Feat. j-hope of BTS),"Yo I’ve been walking on the street yo
유엔빌리지에서 한강진역
이태원을 지나왔어 언덕길로
클랙슨은 목이 쉬어 퇴근길마다 삐걱삐걱
그게 자그마치 2년
입에 단내가 나 미칠 지경
작업실로 당당하게 내비 찍어
This is Crush hour 비켜라 비켜

We gotta celebrate 넌 즐기기만 해
누가 뭐래도 Baby
Hey ladies and gentlemen,
do what you wanna do baby

그러니까 너넨 히비히비합 질러 빽빽
다시 Clap clap clap and then hit that
하나둘 모여 마치 Traffic jam
Get up get up

그러니까 너넨 히비히비합 질러 땍땍
따라 해 어때 생각보다 쉽지
모두 모여 마치 Traffic jam
Get up (get up) get on up

Yo I’ve been walking on the street yo
서울숲에서부터 근방 직경
But 어딜 가든 이젠 레드카펫 Feel yo
사진 소리 찰칵찰칵 가는 길마다 찍어 찍어
붐비는 People, 마치 Traffic 기분
보험마저 없는 내 미래 비전
Y’all trippin’, whole lotta freaks
And now, Crush hour 난 그냥 형 따라 직진

We gotta celebrate 넌 즐기기만 해
누가 뭐래도 Baby
Hey ladies and gentlemen,
do what you wanna do baby

그러니까 너넨 히비히비합 질러 빽빽 (빽빽)
다시 Clap clap clap and then hit that (hit that)
하나둘 모여 마치 Traffic jam
Get up get up

그러니까 너넨 히비히비합 질러 땍땍 (땍땍)
따라 해 어때 생각보다 쉽지
모두 모여 마치 Traffic jam
Get up (get up, rush hour)
Take’em to the bridge

La la la la la la la la
La la la la la la la
La la la la la la la la
La la la la la la la

This is Crush hour, Crush hour, Crush hour
This is Crush hour, Crush hour, Crush hour

Watch Out (Watch Out)
Watch Out (Watch Out)

This is Crush hour, Crush hour, Crush hour",RNB
1,딱 10CM만,"1 2 3 4 5 6 7 8 9 10
딱 10CM만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 반 발자국만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
자세히 보아야 예쁘다
오래 보아야 사랑스럽다
참 좋아하던 말이었는데 글쎄
아무거나 눌러보다가
한발자국 뒤에서
보면 보이지 않던 아름다움이
보인다는 말에
집에 가는 길에
액정 밖의 화면을 봤네
맨날 본 똑같은 거리들이
오늘따라 이상하게 예뻐 보이는 게
싫은 것도 싫지 않아야 어른이 되지
우리 조금만 반 발자국만
한 발자국만 아님 반 발자국만
멀어져 볼까
1 2 3 4 5 6 7 8 9 10
딱 10CM만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 반 발자국만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
꽃을 보았다 예뻤다
자세히 보려고 꺾었다
참 좋아하던 향이었는데 글쎄
이제는 한 두번 누르는 향수처럼
쉽게 피고 아쉽게 지는
자세히 안 봐도 오래 안 봐도
이 거리를 가득 채우는
꽃들도 있더라고
삐거덕 거리는
빈 수레바퀴는
쉼과 의심 그 사이 어딘가로 더
미끄러져가는데
일찍이 이미 희미해 져버린
우리의 길 위 의미는 헤져버린
목적지에 적힌 음표와 같아서
1 2 3 4 5 6 7 8 9 10
딱 10CM만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 반 발자국만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 10CM만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 반 발자국만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자",RNB
2,정이라고 하자 (Feat. 10CM),"Back to the day
갓 10대가 됐을 때
그때 내가 널 보지 못했다면
어땠을까 해
왜인지 외로워지는 밤에 You say
흐린 추억 속에 네게 안겨 잠드네
Yeah 친구들과의 술자리
나는 또 네 얘기를 꺼내
보고 싶다는 넋두리에
친구들 답은 뻔해
10년도 더 된 애를 사랑할 수 있냬
이제 그만 잊으래
근데 그게 잘 안돼
그래 걔 말마따나
넌 아담의 사과일 수도
But 난 신을 안 믿으니까
네 전화 바로 픽업
지금 주소 찍어
어디든 상관없어 다 갈 테니까
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
아메리카노보단 라떼를
맛있게 내리던 네 집 앞 카페를
매일 같이 갔었었던 그때를
내려줄게 쓰지 않아 이제는
넌 매일 밤 예뻐 예뻐
해주며 날 재워 재워
식어버린 널 데워 태워
꿈에서 날 깨워 줘
버려진 기억들 속에서
쓸만한 컷들을 찾고 있어
이미 내 곁에 더는 없는 너지만
난 너를 느낄 수 있어
닿을 듯 안 닿을 듯
떠나는 뒷모습이
왜인지 행복해 보여
너라도 행복해줘
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네 말이 맞아
이건 사랑이 아냐
그냥 정리하고 가자",RNB
3,보고싶었어,"너를 정말 사랑했나 봐 아직도 널 못 잊었나 봐 자꾸만 생각나

시간은 왜 자꾸 나에게 아픈 기억은 다 지우고 좋은 추억만 남아

우 함께 울고 웃던 계절에 다시 만난다면

보고싶었어 사랑했던 그때의 너와
니 곁에 그리고 나 널 바라만 봐도 눈물 나게

마냥 좋았어 너에게 못다 한 그 말
조금은 늦었겠지만 아직 널 사랑한다고 말야

라라라 라라라라랄랄라 라라라라랄랄라
보고싶었어

라라라 라라라라랄랄라 라라라라랄랄라
너도 내 맘 같기를

그땐 정말 어렸었나봐 사랑을 잘 몰랐었나 봐
그게 마음이 아파

우 오늘처럼 눈부신 날에 다시 만난다면

보고싶었어 사랑했던 그때의 너와
니 곁에 그리고 나 널 바라만 봐도 눈물 나게

마냥 좋았어 너에게 못다 한 그 말
조금은 늦었겠지만 (늦었겠지만) 아직 널 사랑한다고

꽃 피는 봄이 온 것처럼
당연한 듯 내곁에 머물 줄만 알았어 (항상)

주는 게 사랑이란 걸 그때야 난 깨달았어
니가 떠난 후에야

나 너에게 참 고마웠다고 벅차 행복했다고
사랑을 가르쳐 준 니가 참

보고싶었어 (보고싶었어) 너에게 듣고 싶은 말
아직 늦지 않았다고 (늦지 않았다고) 너도 날 기다렸다고 말야

라라라 라라라라랄랄라 라라라라랄랄라
보고싶었어 (Baby can you call me now)
라라라 라라라라랄랄라 라라라라랄랄라

너도 내 맘 같기를",RNB
4,Graduation,"언제부터 일까 내 작은 생각들
영원히 네 곁에 머물 수 있을까
헤어짐이란
상상 못한 남의 얘기들
어떤 순간 날 얼어붙게 해
시간이 가는 게
싫을 만큼 따스했던
반짝인 웃음 그리고 눈물
누군가를 믿기 힘들 때
항상 같은 자리에서
날 위해 서 있어 준 너
이제 난 그만 졸업하려고 해
불안해하던 그 많은 날을
기억해 이 벅찬 감정
손 흔들어 안녕
마지막 인사하고
돌아서면
날 기다린 세상으로 가
미지의 별
동경했던 여행을 시작할 때
My Graduation 그 첫걸음
많이 행복하게 될 거야
지금 이 기분을 네게
전해야 할 텐데
마음이 조급해 yeah
마치 눈보라 속 길을 밝히는 불
그래 너만을 보고 걸어온 거야
모두 변해도
나의 세상 끝에 남은 너
얼어붙어도
저 은하수 녹일 거야
우린 하얀 외계인 둘러봐
지금 우리 둘 뿐야
왜 언제나 부족한 것만 같던
어쩔 줄 모르던
오래전 내 안의 그 작은 어른
낯선 걸음 그리고 더 멀리
막연했었던 질문들
답을 쫓아가
외로이 돌던 Planet
길 잃은 밤의 공기
잡은 순간 흩어지던
창백한 푸른빛
나 걷는 길 홀로
외롭지 않다고
그 끝엔 네가 서 있어
길었던 밤을 떠나보내려 해
너의 사랑을 너무 잘 아니까
더는 두렵지가 않아
손 흔들어 안녕
마지막 인사하고
돌아서면
날 기다린 세상으로 가
미지의 별
동경했던 여행을 시작할 때
My Graduation 그 첫걸음
많이 행복하게 될 거야
이제 나는 단단히 서
너를 감싸 안아 줄 거야
천천히 더 커져가
담을 것들 가득한 세상
영원이란 걸 꿈꾸지는 않아
지금을 빛나게 하면 돼
마지막 한번 안아준 뒤에
훨훨 보내주려 해
캄캄한 밤들
기억해
It’s only us ah yeah
손 흔들어 안녕
마지막 인사하고
돌아서면
날 기다린 세상으로 가
미지의 별
동경했던 여행을 시작할 때
My Graduation 그 첫걸음
많이 행복하게 될
모두 떠나보낸 그다음 남은 건
따스한 손의 온기 그리고 우리",RNB
5,입김 (Take My Breath),"Take My Breath
심각해 네 앞에 서면
숨을 쉬는 것도
내 맘대로 잘 안돼
들이쉬는 숨에
머린 뒤엉킨 채
다시 내쉰 숨엔
말문 막혀
차가워지는 공기
추운 이 거릴
너와 걸어
마치 우리 둘은 연인
yeah 그럼 뭐해
어색하게 굳은 채로
두 볼만 빨개져 ay
계절 사일 걷는 Me and you
하얀 눈은 자꾸 녹는데
날 보는 까만 네 눈을 볼 땐
온통 얼어붙게 돼
널 좋아 한단 그 말을 빼면
어떤 말도 못 해
잔뜩 움츠렸던 내 용기까지
온기가 실린 채
봐 맘이 밖으로 자꾸 새어나
하얀 입김이 하늘 위로 yeah
널 그려내지 온종일
Breathe in breathe out
Take My Breath
yeah See my breath
fizzing like pop soda
거품 따라 올라 나는 아마
Lemme sum up
My feelings for you
편지는 주머니 속
but 주지 못해 am I a bummer
어느새 쌓여가는 눈과
그 위로 더 깊어져만 간
긴긴 한 숨
이 거리에 가득해
자 이젠 네 앞에
맘을 털어놔야 해
서롤 향해 걷는 Me and you
겨울 한가운데 있는데
둘만의 성급한 봄이 오게
네 곁에 붙어 설 게
널 좋아 한단 그 말을 빼면
어떤 말도 못 해
잔뜩 움츠렸던 내 용기까지
온기가 실린 채
봐 맘이 밖으로 자꾸 새어나
하얀 입김이 하늘 위로 yeah
널 그려내지 온종일
Breathe in breathe out
Take My Breath
숨 쉬듯 All day
난 너를 생각해
Girl I told you a secret
내 맘 깊이 너 몰래 숨긴
모든 단어들은 yeah It’s you
yeah 비밀인 걸
어쩌면 너에게 다 들키고 있으려나
내 모든 말에 묻어나서
uh 그럼 대답해 난 숨을 참을래
Until It’s over
Until It’s over over over
and we’re just getting started
널 좋아 한단 그 말을 빼면
어떤 말도 못 해
잔뜩 움츠렸던 내 용기까지
온기가 실린 채
봐 맘이 밖으로 자꾸 새어나
하얀 입김이 하늘 위로 yeah
널 그려내지 온종일
Breathe in breathe out
Take My Breath
Take My Breath
Take My Breath
(Can’t lie so I stay quiet)
Take My Breath
온종일 Breathe in breathe out
Take My Breath
Take My Breath
(모든 숨이 소리 없이 하는 말)
Take My Breath
온종일 Breathe in breathe out
Take My Breath",RNB
6,Must Have Love,"함께 있단 이유로 행복했었던
우리들의 겨울날의 소중한 기억들
좋은 날엔 언제나 네가 있기에
잊을 수 없는 Memories

Ring the bells sing the song
this season is the time for love
익숙한 음악소리 가득한 거리
하얀 거품처럼 내려와서
소복히 쌓이는 눈
멀리서 들려오는 맑은 종소리
날 위해 준비해 둔 것 같아
너무 아름다워
말을 하지 않아도 알 수 있잖아
나를 항상 웃게 하는
너만 있으면 돼
내 맘을 다 아나 봐 하늘에서도
세상 가득히 눈이 와

Ring the bells sing the song
this season is the time for love
친구란 이름으로 지내 왔기에
새삼 말하기도 어색했던
그고백 기억할게
너만의 사랑이란 이유만으로
모든 게 아름다운 이 세상
너만을 사랑해
말을 하지 않아도 알 수 있잖아
나를 항상 웃게 하는
너만있으면 돼
내 맘을 다 아나 봐 하늘에서도
Singing all around
Singing all around
함께 있단 이유로 행복했었던
우리들의 겨울날의 소중한 기억들
좋은 날엔 언제나 네가 있기에
잊을 수 없는 Memories
잊을 수 없는 Memories
Ring the bells sing the song
cuz it's Christmastime
This season is the time For you",RNB
7,너를 생각해,"너를 들려주고 싶었어
이 노랠 만들 때
아마 니가 정말 많이 좋아할꺼야
이젠 내겐 니가 없어서
나 혼자 불러도
혹시 듣게 되면 그게 니 얘기라고
난 노랠 만들 땐
늘 너를 생각해
어딘가 혼자 진지한 표정
고개를 끄덕거리고 나선
항상 흥얼거리며 따라 불렀어
나를 보며 신나있던 너에게
불러주고 싶던 노래를
왜 이제야 겨우 완성했을까
이 노랜 널 사랑한다는 내 얘기가
잔뜩 들어갔어야 하는 노랜데
너를 들려주고 싶었어
이 노랠 만들 때
아마 니가 정말 많이 좋아할꺼야
이젠 내겐 니가 없어서
나 혼자 불러도
혹시 듣게 되면 그게 니 얘기라고
니가 자주 가곤했던 카페에
이 노래가 나올 때까지
니 친구가 따라 부를 때까지
이 노랠 유명해지게 계속 불러서
나는 너에게로 꼭 닿고 말거야
너를 들려주고 싶었어
이 노랠 만들때
아마 니가 정말 많이 좋아할꺼야
이젠 내겐 니가 없어서
나 혼자 불러도
혹시 듣게 되면 그게 니 얘기라고
너를 사랑할땐 몰랐던
바보라 미안해
아마 이걸 듣고 너는 원망하겠지
이젠 내가 많이 잘할게
너 혼자 울지마
혹시 듣게 되면 아직 너뿐이라고",RNB
8,GANADARA (Feat. 아이유),"길거리를 걷다 보면
사랑 노래만 흘러나와
나는 왜 저런 게 낯설까
난 한국말까지 서툴러
번역기도 전혀 도움 안 돼
네 맘엔 어떨까 걱정만
어떤 단어를 쓸지 I don’t know
어떤 말을 할지 I don’t know
나는 왜 이런지 I don’t know
You’re on my mind
어떤 단어를 쓸지 I don’t know
어떤 말을 할지 I don’t know
나는 왜 이런지 I don’t know
You’re on my mind
Baby 정말 생각 안 나
Body language로 자신 있어
보여줄게
girl just give me some your time
너를 보면 손에 땀 나
긴장 풀게 한 번 웃어줘
Let me take u on a magic carpet ride
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
너무 완벽하지 않아도
걱정 마 네 맘을 조금 알 것 같아
네게 좀 더 다가서 볼까
고민해 매일 밤
길거리를 걷다 보면
계속 계속 네 생각이 나
이런 내 모습이 왜 낯설까
번역기 위에서
헤매는 네 손가락까지
자꾸만 생각이 나는 걸
Body language도 나는 괜찮아
But 생각 안 나면 그냥 웃어줘
모든 것을 알려줄게 오늘 밤
내가 나쁜 남자처럼 보여도
너를 볼 때면 맘이 여려져
I wouldn’t mind if I died in your arms
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사",RNB
9,아무래도 난,"아무렇지 않게 내 하루가 또
지나갈 쯤에 문득
네가 없다는 게 익숙해진 내가
낯설어지곤 해 yeah
이제와 너 없는 난 의미 없다고
되돌릴 수 없는 우리겠지만
네가 좋아했던 그 노랠 우연히
듣게 됐어 아무래도 난
Baby I Need You
좀 늦었겠지만
다시 하고 싶어
여전히 I Need you
Need You
좀 어렵겠지만
너 없인 안돼 난
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now
몇 곡의 노래로 너를 불렀을까
너도 들었겠지만
아직도 궁금해
내가 없이 보낸
너의 지금은 어때
이제와 너 없는 난 의미 없다고
되돌릴 수 없는 우리겠지만
네가 좋아했던 그 노랠 우연히
불러 봤어 아무래도 난
Baby I Need You
좀 늦었겠지만
다시 하고 싶어
여전히 I Need you
Need You
좀 어렵겠지만
너 없인 안돼 난
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now
그때 네가 울던 한강 공원에서
네 눈물을 보고 닦아 주질 못했어
이런 게 떠올라 후회된 장면만
웃는게 예뻤던 너를
Baby I Need You
여전히 사랑해
내가 잘못했어
돌아와 I Need you
Need You
너도 그랬다고
나없이 안돼 넌
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now",RNB
