,제목,가사,장르
0,너의 의미,"너의 그 한마디 말도
그 웃음도 나에겐 커다란 의미
너의 그 작은 눈빛도
쓸쓸한 뒷모습도
나에겐 힘겨운 약속
너의 모든 것은 내게로 와
들리지 않는 수수께끼가 되네
슬픔은 간이역의
코스모스로 피고
스쳐 불어온 넌 향긋한 바람
나 이제 뭉게구름
위에 성을 짓고
널 향해 창을 내리
바람 드는 창을
너의 그 한마디 말도
그 웃음도
나에겐 커다란 의미
너의 그 작은 눈빛도
쓸쓸한 뒷모습도
나에겐 힘겨운 약속

너의 모든 것은 내게로 와
들리지 않는 수수께끼가 되네
슬픔은 간이역의
코스모스로 피고
스쳐 불어온 넌 향긋한 바람
나 이제 뭉게구름
위에 성을 짓고
널 향해 창을 내리
바람 드는 창을
너의 그 한마디 말도
그 웃음도
나에겐 커다란 의미
너의 그 작은 눈빛도
쓸쓸한 뒷모습도
나에겐 힘겨운 약속

너의 그 한마디 말도

너의 그 작은 눈빛도

너의 그 한마디 말도

너의 그 작은 눈빛도",록메탈
1,미우나 고우나,"그 뻔한 거짓말 사랑이란 말
나는 절대 믿지 않겠습니다
그 흔한 거짓말 사랑이란 말
나는 절대 믿지 않겠습니다
그 슬픈 혼잣말
사랑해 널 사랑해
흔한 거짓말이라도 좋아
말해줘 날 사랑한다고
미우나 고우나 내 사랑이죠 그대
어디에 있거나 내 사랑이죠 그대
나를 아프게 해도
나를 슬프게 해도
그대 오 그대여
미우나 고우나 내 사랑이죠

그 뻔한 거짓말 돌아온다는 말
나는 절대 믿지 않겠습니다
그 흔한 거짓말 기다려 달란 말
나는 절대 믿지 않겠습니다
아직 못다한 그 말
사랑해 널 사랑해
흔한 거짓말 이라도 좋아
말해줘 기다려 달라고
미우나 고우나 내 사랑이죠 그대
어디에 있거나 내 사랑이죠 그대
나를 아프게 해도
나를 슬프게 해도
그대 오 그대여
미우나 고우나 내 사랑이죠

미우나 고우나 내 사랑이죠 그대

나 오직 그대만 기다립니다 그대
나 오직 당신만 사랑합니다 그대
나를 아프게 한 만큼
그대 사랑합니다
그대 나는
미우나 고우나 기다립니다
미우나 고우나 내 사랑입니다",록메탈
2,행복의 나라로,"나나나나- 나나나나-
나나나나- 나나나나-
나나나나- 나나나나-
나나나나- 나나나나-

우리 모두 가세 행복의 나라로
저 아름다운 꽃길
꿈은 마냥 컸네 구름처럼 컸네
저 푸른 하늘 위로
가보세 저기 나라 행복의 나라
고운 노래 부르며 가세
우리 모두 가세 행복의 나라로
저 아름다운 꽃길
꿈은 마냥 컸네 구름처럼 컸네
저 푸른 하늘 위로
가보세 저기 나라 행복의 나라
고운 노래 부르며 가세
나나나난나나- 나나나난나나-
나나나난나나- 나나나난나나-

행복에 찬 마음을 열어보세
온갖 새 지저귀어 즐거운 오솔길
함께 걸어가보세 행복의 산책길을
새소리 들으며 휘파람 불면서
난나나나 나난나- 나나난나 나난나-
나나나 나나나 나나나 나나나-",록메탈
3,The Escape,"청춘이란 방패들고 싸워온지 몇년
두려울것 없이 날 세상에 던졌으나
무관심에 맞설힘은 더는 내게 없어라
달콤한 유혹은 또 나를 괴롭히더라
why
세상힘들길에 버려졌는지
why
세상사람 나를 몰라주는지
많고 많은 물음표 감당할수 없어
오늘도 어둠속에 나를 던져버린다
We won't take no more
Where do we go from here
Deep inside our time has come
Where do we go from here
We are rise and fall
we will take it all someday
멀리서 기다리는 그대눈을 보면
아직도 사랑하는 그대란걸 믿기에
너에겐 아직도 들려줄 노래많아
내무릎과 땅은 절대 입맞추지않아
why
내게 이길을 가냐고 물으면
why
내게 포기란 단어가 없냐면
그 어떤 유혹도 날 꺽지못하니까
열정과 영혼이 이곳에 녹아 있으니
We won't take no more
Where do we go from here
Deep inside our time has come
Where do we go from here
We are rise and fall
we will take it all someday

There no escape from you
Run away

There no escape from you
Run away
I can escape from you
I can escape from you
I can escape from you
I can escape from you

Where do we go from here
Deep inside our time has come
Where do we go from here
We are rise and fall
we will take it all someday

Where do we go from here
We are rise and fall
we will take it all
rise and fall
we will take it all
someday",록메탈
4,예쁜 맘 예쁜 꿈,"마음이 예쁘면 꿈도 예쁘죠
예쁜 꿈꾸면 나비같이 날아
마음이 고우면 고운 꿈꾸죠
고운 꿈꾸며 구름처럼 날아
희망이 있는곳에 어울리다가

흰구름 따라서 날아가네요
마음이 예쁘면 꿈도 예쁘죠
예쁜 꿈꾸며 나비같이 날아

마음이 고우면 고운 꿈꾸죠
고운 꿈꾸며
구름처럼 날아
희망이 있는 곳에 어울리다가
흰구름 따라서 날아가네요

마음이 예쁘면 꿈도 예쁘죠
예쁜 꿈꾸며 나비같이 날아",록메탈
5,I Do,"니가 내게 확인하려
묻곤 했던 그 한마디
Do you Love me Still love me
I'll always do
그때 차마 말할 수 없던
입가에 맴돌던 그 말 한마디
I do I do
Forever more like this Baby
스쳐 지나가는 하루와
점점 진해지는 한숨 소리는
널 바라보는 내 눈빛은
자꾸 초점을 잃어가고
사랑이 끝난 게 아닌데
아직 너를 사랑하는 것 같은데
함께했던 세월 속에
난 네게 무뎌 지나봐 baby
Sorrow 슬픔 없이
Waiting 기다림 없는
Love me 영원히 너만 사랑할 수 있을까
I'm Sorry 이건 마치 Bleeding
이젠 미련 없이 날
Leave me
그게 널 위한 유일한 길 일거야
니가 내게 확인하려
묻곤 했던 그 한마디
Do you Love me Still love me
I'll always do
그때 차마 말할 수 없던
입가에 맴돌던 그 말 한마디
I do I do
Forever more like this

스쳐 지나가는 하루와
점점 진해지는 한숨 소리는
널 바라보는 내 눈빛은
자꾸 초점을 잃어가고
사랑이 끝난 게 아닌데
아직 너를 사랑하는 것 같은데
함께했던 세월 속에
난 네게 무뎌 지나봐 baby
Sorrow 슬픔 없이
Waiting 기다림 없는
Love me 영원히 너만 사랑할 수 있을까
I'm Sorry 이건 마치 Bleeding
이젠 미련 없이 날
Leave me
그게 널 위한 유일한 길 일거야
I can't love you anymore
I don't need your touch no more
날 사랑할 수 있겠니 처음처럼 말이야
세상모두가 너를 욕하고
너의 가족들이 날 원망해도
암흑 같은 이 길을
끝까지 나와 함께 갈 수 있겠니
그럴 수 없다면
끝내
니가 내게 확인하려
묻곤 했던 그 한마디
Do you Love me Still love me
I'll always do
그때 차마 말할 수 없던
입가에 맴돌던 그 말 한마디
I do I do
Forever more like this",록메탈
6,악몽 (惡夢),"어둠 속에서 눈을 빛내는
낯 모를 검은 사람
나도 모르는 어느 사이엔가
숨 죽여 내 뒤를 밟았지
귓가에 닿는 차가운 숨결
소름 돋는 저 소리
넘어진다면 잡히고 말겠지
악취 나는 저 사내에게
오오오 달리려 했지
무감각한 다리를 재촉해
오오오 눈 뜨려 했지
아릿한 연기 한 가운데
오오오 오오오오오
누군가 날 구해 줬으면
오아오 오아오오오
오오오 악몽에 선 나를
어둠 속에서 눈을 빛내는
내 안의 검은 사람
나도 모르는 어느 사이엔가
통째로 날 삼켜버렸지
오오오 없애야만 해
그가 날 알아채기 전에
오오오 들키기 전에
그가 날 차지하기 전에
오오오 오오오오오
누군가 날 구해 줬으면
오아오 오아오오오
오오오 악몽에 선 나를
오오오 달리려 했지
무감각한 다리를 재촉해
오오오 눈 뜨려 했지
아릿한 연기 한 가운데
오오오 오오오오오
누군가 날 구해 줬으면
오아오 오아오오오
오오오 악몽에 선 나를",록메탈
7,Truth,"어둠은 깊고 먼동은 멀고
그대 목소리
너무 먼 곳에 있는 것 같아
얼마나 오래 걸어온 걸까
시작도 끝도 이미 난 알 수 없지만
나 오직 그대에 빛으로
그 무엇도 두렵지 않으니
오오오오오오오 그대여 함께라면
오 그대여 함께라면

어둠이 내려 세상을 가려도
그대를 향한 나에 마음 밝게 빛나고
얼마나 오래 걸어 온 걸까
시작도 끝도 이미 난 알 수 없지만
나 오직 그대에 빛으로
그 무엇도 두렵지 않으니
오오오오오오오 그대여 함께라면
오 그대여 함께라면
오 그대와 그대 함께
그대와 함께 라면",록메탈
8,You And Me,"넌 미안하다며 나를 버리고 음 음
사랑했다고 거짓말하고
난 괜찮을 거라 나를 속이고
다 잊을거라 거짓말하고
어디까지가 사랑인건지
언제부터 난 혼자였는지
사랑했는지
미워했는지
습관이었는지
어디까지가 사실인건지
언제부터 넌 여기 없는지
사랑해봐도
미워해봐도
난 너무 아픈 걸

너와 나는 그렇게 만나
사랑을 하고
너와 나는 사랑을 하고
너와 나는 지금 헤어져
타인이 되고
너와 나는 타인이 되고
어디까지가 사랑인건지
언제부터 난 혼자였는지
사랑했는지
미워했는지
습관이었는지
어디까지가 사실인건지
언제부터 넌 여기 없는지
사랑해봐도
미워해봐도
난 너무 아픈 걸

넌 미안하다며 나를 버리고 음 음
난 다 잊을거라 거짓말 하고",록메탈
9,무언가 나의 곁에,"잊지 않고
다음 날엔
있지 않고

잊지 않고
다음 날엔
있지 않고

잊지 않고
다음 날엔
있지 않고

잊지 않고
다음 날엔
있지 않고

such a thing
such a thing
such a thing
such a thing
can i
such a thing
such a thing
such a thing
such a thing
and i go

잊지 않고 해는 뜨고
다음 날엔 달이 뜨고
있지 않고 미소
잊지 않고 새는 날고
달도 뜨고 어쩌겠어
아이들의 노래
잊지 않고 해는 뜨고
다음 날엔 달이 뜨고
읽지 않고 편지
somethin' over you
가슴 아팠지
somethin' over you
가슴 아팠지
somethin' over you
가슴 아팠지
somethin' over you
가슴 아팠지
somethin' over you
가슴 아팠지
somethin' over you
가슴 아팠지",록메탈
10,산책,"그녀와 단 둘이 세상 가장 밝은 낙원으로 가는 아침

산책길 이게 만약 꿈이라도 괜찮아

오늘도 난 뒤를 따라 걷는다





몇 걸음 뒤에서 조금이라도 급하게 서두르면 안돼

새하얀 어깨위로 내려앉은 햇살이

뒤를 돌아보며 웃을때까지





아침이 정말 좋아 그댈 볼 수 있어 좋아

누가 뭐라해도 난 뒤따라 걸어간다

힘겨운 내 삶에 찾아온 그댄 날 웃게해





모든 게 궁금해 작은 하나부터 열까지가 모두 그래

나에겐 젖은 머릿결의 향기조차도

커다란 의미로 느껴지나봐





가로수 풀밭 좁은 길을 돌아 멈춰 다시 물 한 모금

수줍게 눈인사라도 할 수만 있다면

마냥 좋아서 노랠 부를거야





아침이 정말 좋아 그댈 볼 수 있어 좋아

그 어디라해도 난 뒤따라 걸어간다

용기를 내서 들려줄게 나의 기타솔로야





이젠 말을 걸어볼까 설레는 마음으로

한 걸음 두 걸음 그대 앞으로 걷는다

어떤 말로 시작할까

그리고 그 다음엔 그리고 그 다음엔





아침이 정말 좋아 그댈 볼 수 있어 좋아

그 어디라해도 난 뒤따라 걸어간다

가로수 풀밭 좁은 숲길로 아름다운 꿈결 속으로



이 세상 가장 밝은 곳까지 나와 함께해",록메탈
11,네 목소리,"계속 걷고 있어 네게 닿을 때까지
언제쯤이면 보게 될런지
날카로운 눈빛 차가운 네 미소
그 안에 갇혔어
난 계속 부르고 있어
네게 들릴 때까지
언제쯤이면 듣게 될런지
부드러운 손길 달콤한 속삭임
그 안에 빠져서 난 어딜가도
네 목소리가
어딜가도 네 목소리가 부는 바람속에
들려와 마른 가슴속에 불어와 어떡해
나 어떡해
어딜가도 네 목소리가
어딜가도 네 목소리가
시린 귓가에 또 들려와
내게 속삭이듯 들려와
어떡해 나 어떡해

계속 흐르고 있어
내 눈물속의 네가 언제쯤이면
다 비워질런지
선명한 네 말투 선연한 네 향기
그 안에 빠져서
난 어딜가도 네 목소리가
어딜가도 네 목소리가
부는 바람속에 들려와
마른 가슴속에 불어와 어떡해
나 어떡해
어딜가도 네 목소리가
어딜가도 네 목소리가
시린 귓가에 또 들려와
내게 속삭이듯 들려와
어떡해 나 어떡해
기다리는 나를 두고
기다리는 나를 두고
어떻게 넌 어떻게 내게

부는 바람속에 들려와
마른 가슴속에 불어와
어떡해 나 어떡해",록메탈
