,제목,가사,장르
0,미스터 유,"이봐요 미스터 유
얼굴은 왜 돌려
사랑하다 싫어지면
그만이지
얼굴은 왜 돌려
내 곁에서 맴돌다가
스쳐간 바람 같은 사나이
미련없이 돌아서야지
가슴 속에 아쉬움은
조금씩 있겠지만
그까짓 것 바람의 사나이
잊을 거야 미스터 유
이봐요 미스터 유
얼굴은 왜 돌려
사랑하다 싫어지면
그만이지
얼굴은 왜 돌려
내 곁에서 맴돌다가 스쳐간
바람 같은 사나이
미련없이 돌아서야지
가슴 속에 아쉬움은
조금씩 있겠지만
그까짓 것 바람의 사나이
잊을 거야 미스터 유",트로트
1,짝짝꿍짝,"짝짝꿍짝 눈빛만 봐도
꿍하면 짝이잖아
니가 좋아 나도 좋아
변하지 말자
짝짝꿍짝
하루만 안 봐도 보고 싶고
또 보고 싶은 사람
맛있는 걸 먹을 때면
생각이 나는 사람
온종일 같이 붙어 다녀도
지겹지 않은 사람
말 한마디 없을 때도
통하는 그런 사람
짝짝꿍짝 우리 두 사람
죽이 짝짝 맞잖아
이런 사람 평생에 한 번
만날 수가 있을까
짝짝꿍짝 눈빛만 봐도
꿍하면 짝이잖아
니가 좋아 나도 좋아
변하지 말자
짝짝꿍짝
짝짝꿍짝
하루만 안 봐도 보고 싶고
또 보고 싶은 사람
맛있는 걸 먹을 때면
생각이 나는 사람
온종일 같이 붙어 다녀도
지겹지 않은 사람
말 한마디 없을 때도
통하는 그런 사람
짝짝꿍짝 우리 두 사람
죽이 짝짝 맞잖아
이런 사람 평생에 한 번
만날 수가 있을까
짝짝꿍짝 눈빛만 봐도
꿍하면 짝이잖아
니가 좋아 나도 좋아
변하지 말자
짝짝꿍짝",트로트
2,흥부자,"흥부자 부자 흥부자가 왔어요
한번뿐인 인생길에 놀다 갑시다
흥부자 부자 부자 우리가 흥부자
스트레스 쌓이면 병이 난대요
참는 것도 한두번이지
친구만나 술도한잔
님과함께 여행가고
즐겁게 살아갑시다
흥부자 부자 흥부자가 왔어요
근심걱정 모두모두 날려버려요
흥부자 부자 흥부자가 왔어요
한번뿐인 인생길에 놀다 갑시다
흥부자 부자 부자 우리가 흥부자
흥부자 부자 부자 우리가 흥부자",트로트
3,잊었니 (MR),"잊었니 날 잊어버렸니
그 수많은 추억들은 잊어버렸니
가슴은 널 향해 팔 벌려
오늘도 간신히 버티고 있는데
추억이 점점 빛 바래가면
너와 거닐던 길에 우두커니 서
지우고 또 지우려 해도
네 숨결 목소리가 귓가에 들려
잊었니 날 잊어버렸니
아직 난 널 기다리잖아
사랑이 또 울고 있잖아
가슴엔 늘 눈물이 고여
지워도 자꾸 지우려 해도
그대 얼굴이 자꾸 떠오르네요
잊었니 날 잊어버렸니
아직 난 널 기다리잖아
사랑이 또 울고 있잖아
가슴엔 늘 눈물이 고여
잊었니 날 잊어버렸니
아직 난 널 기다리잖아
사랑이 또 울고 있잖아
가슴엔 늘 눈물이 고여
지워도 자꾸 지우려 해도
그대 얼굴이 자꾸 떠오르네요
지워도 자꾸 지우려 해도
그대 얼굴이 자꾸 떠오르네요
그대 얼굴이 자꾸 떠오르네요",트로트
4,오이소 보이소 사이소(With 송가인),"오이소 보이소 사이소 퍼뜩
오이소 와보이소 사가이소 퍼뜩
오이소 보이소 사이소 퍼뜩
오이소 와보이소 사가이소 퍼뜩
어 어허야 에 헤이야
부산에 가면 자갈치 시장
누구나 가는 필수코스
꼼장어 좋고 어묵도 좋아
양곱창 먹방은 예술
어 어허야 에 헤이야
부산에 오면 광안리 대교
남포동 축제도 대박
오이소 보이소 사이소 퍼뜩
오이소 와보이소 사가이소 퍼뜩
오이소 보이소 사이소 퍼뜩
오이소 와보이소 사가이소 퍼뜩
어 어허야 에 헤이야
어 어허야 에 헤이야
국제시장 꽃분이네
영도대교 금정산성
오라 오라 내님이 좋아
우루루루루루 오소
오이소 보이소 사이소 퍼뜩
오이소 와보이소 사가이소 퍼뜩
오이소 보이소 사이소 퍼뜩
오이소 와보이소 사가이소 퍼뜩
어 어허야 에 헤이야
용두산 하면 백 구십 사계단
데이트 코스 일번지죠
낮에도 좋고 밤에도 좋아
낭만과 야경은 예술
내 사랑이 난 좋아라
해운대 찍고 동백섬 돌아
오륙도 태종대 투어
오이소 보이소 사이소 퍼뜩
오이소 와보이소 사가이소 퍼뜩
오이소 보이소 사이소 퍼뜩
오이소 와보이소 사가이소 퍼뜩
어 어허야 에 헤이야
어 어허야 에 헤이야
동래온천 감천마을
남항대교 해동용궁사
오라 오라 내님이 좋아
우루루루루루 오소
오이소 보이소 사이소 퍼뜩
오이소 와보이소 사가이소 퍼뜩
오이소 보이소 사이소 퍼뜩
우루루루루루 오소",트로트
5,엄마아리랑,"엄마 아리랑 아리랑
아리아리랑 아라리요
아들딸아 잘되거라
밤낮으로 기도한다
엄마 아리랑
사랑하는 내 아가야
보고싶다 우리 아가
천년만년 지지 않는 꽃이 피는구나
아리랑 아리랑
사랑 음 사랑 음 엄마 아리랑
아리아리랑 아라리요
쓰리쓰리랑 아라리요
우리 엄마 사랑은 아리랑
엄마 아리랑
엄마 아리랑 아리랑
아리아리랑 아라리요
우리 엄마 무병장수
정성으로 기원하오
엄마 아리랑
사랑하는 내 어머니
보고싶소 울 어머니
서산마루 해가 지고
달이 뜨는구나
아리랑 아리랑
사랑 음 사랑 음 엄마아리랑
아리아리랑 아라리요
쓰리쓰리랑 아라리요
우리 엄마 사랑은 아리랑
엄마 아리랑
아 리 랑 아 리 랑
사랑 음 사랑 음
엄마 엄마
우리 어머니 아리랑
에야디야 에헤라디야디야
에야디야 에헤라디야디야
에야디야 에헤라디야디야
엄마 아리랑",트로트
6,꽃핀다,"꽂힌다 꽂힌다
그대가 자꾸 가슴에 꽂힌다
알 수 없는 느낌 거기에 날 맡긴
내 가슴에 깊숙히 꽂힌다
꽃핀다 꽃핀다 그대만 보면
내 맘에 꽃핀다
아지랑이처럼 작은 깃털처럼
내 가슴에 간질 간질 꽃이 꽃이 핀다
꽃 꽃 꽃이 꽃이 꽃이 핀다
그대만 보면 내 가슴에 핀다
꽃 꽃 꽃이 꽃이 꽃이 핀다
커다랗고 탐스럽게 핀다
꽃진다 꽃진다
그대가 왠지 차가워 꽃진다
나를 보는 눈길 그대의 그 눈길
그 눈길 하나에 몰래 진다
꽃핀다 꽃핀다
그대가 웃으면 다시 꽃핀다
내 맘도 모르고 그냥 웃어줘도
내 가슴에 간질 간질 꽃이 꽃이 핀다
꽃 꽃 꽃이 꽃이 꽃이 핀다
그대만 보면 내 가슴에 핀다
꽃 꽃 꽃이 꽃이 꽃이 핀다
커다랗고 탐스럽게 핀다
왜 이러는지 무슨 감정인지
난 알수없지만
사랑 사랑 사랑 이런게 사랑인지
모르겠어 내 맘이 뭔지
꽃 꽃 꽃이 꽃이 꽃이 핀다
그대만 보면 내 가슴에 핀다
꽃 꽃 꽃이 꽃이 꽃이 핀다
커다랗고 탐스럽게 핀다",트로트
7,당돌한여자 cover,"일부러 안 웃는 거 맞죠
나에게만 차가운 거 맞죠
알아요 그대 마음을
내게 빠질까봐 두려운 거죠
그대는 그게 매력이예요
관심없는 듯한 말투 눈빛
하지만 그대 시선을
나는 안보고도 느낄 수 있죠
집으로 들어가는 길인가요
그대의 어깨가 무거워 보여
이런 나 당돌한가요
술 한 잔 사주실래요
야이 야이 야이 야이 날 봐요
우리 마음 속이지는 말아요
날 기다렸다고 먼저 얘기하면
손해라도 보나요
야이 야이 야이 야이 말해요
그대 여자 되달라고 말해요
난 이미 오래전
그대 여자이고 싶었어요
애인이 없다는 거 맞죠
혹시 숨겨둔 건 아니겠죠
믿어요 그대의 말을
행여 있다 해도 양보는 싫어
그대는 그게 맘에 들어
여자 많은 듯한 겉모습에
사실은 아무에게나
마음 주지 않는 그런 남자죠
집으로 들어가는 길인가요
그대의 어깨가 무거워 보여
이런 나 당돌한가요
술 한 잔 사주실래요
야이 야이 야이 야이 날 봐요
우리 마음 속이지는 말아요
날 기다렸다고
먼저 얘기하면
손해라도 보나요
야이 야이 야이 야이 말해요
그대 여자 되달라고 말해요
난 이미 오래전
그대 여자이고 싶었어요",트로트
8,사랑의 자판기,"아나요 애태우는 내 맘을
기다리고 있는 사랑을
자꾸만 그대가 떠올라
가슴이 막 뛰는 걸요
어쩜 여자의 맘도 몰라요
쑥스러워 말 못 하나요
정말 내 사랑을 원한다면
내가 고백할게요
그대 맘을 누를 거예요
가슴이 막 두근거리게
손잡아 줄게요 꼭 안아줄게요
사랑을 뽑아줘요
매일매일 누를 거예요
내 맘을 다 열어둘게요
행복을 줄게요 사랑이 넘치게
내 맘 다 줄게요
몰라요 그댄 내 맘 몰라요
터질 것만 같은 사랑을
자꾸만 그대가 맴돌아
가슴이 막 뛴다구요
어쩜 여자의 맘도 몰라요
쑥스러워 말 못 하나요
정말 내 사랑을 원한다면
내가 고백할게요
그대 맘을 누를 거예요
가슴이 막 두근거리게
손잡아 줄게요 꼭 안아줄게요
사랑을 뽑아줘요
매일매일 누를 거예요
내 맘을 다 열어둘게요
행복을 줄게요 사랑이 넘치게
내 맘 다 줄게요
내 마음도 눌러주세요
가슴이 막 두근거리게
손잡아 주세요 꼭 안아주세요
사랑을 채워줘요
매일매일 누를 거예요
내 맘을 다 열어둘게요
행복을 줄게요 사랑이 넘치게
내 맘 다 줄게요",트로트
9,슬픈 미소,"돌아서면 잊혀질까
세월가면 잊을 수 있을까
슬픔은 흘러 흘러 가슴을 적시네
장미꽃 피는 날엔
돌아오마던 당신
여울지는 꿈속에서
그 미소를 찾아 헤맸지
가버리면 잊혀질까
눈 감으면 잊을 수 있을까
서러움은 물들어 가슴을 적시네
장미꽃 피는 날엔
돌아오마던 당신
여울지는 꿈속에서
그 미소를 찾아 헤맸지",트로트
