제목,가사,가수,발매일,좋아요수,장르
데이트,"언제나 꿈꿔왔던 하루
맑게 개인 하늘과
옆에 내 손잡은 너
어디든 함께라면 좋아
너와 걷는 이 길은
설레임이 가득
두 볼에 스치는 바람과
입가에 번지는 너의 미소
oh beautiful day
난 니꺼란 말야
loving you
소리쳐
I found love found love
늘 혼자였던 내게
꿈처럼 다가와
with you
어디야 언제볼까 우리
공허했던 시간들
이젠 너로 채워져
주말에 떠나볼래 멀리
함께 가는 이 길은
기쁨만이 가득
널 향해 비추인 햇살과
내 곁을 맴도는 너의 향기
oh beautiful day
난 니꺼란 말야
loving you
소리쳐
I found love found love
늘 혼자였던 내게
꿈처럼 다가와
with you
난 달리고 있네
널 향해 골인해
어차피 고민해 봤자
너만 보이네
큰일났어 첨으로 나
컨트롤이 안돼
내 사랑은 백프로 덤프트럭
u ma boo so beautiful
I don't know why I love you
다른 어떤것도
보이지 않아 너 하나뿐
널 만나러 가는 길
가슴이 뛰어
가슴이 뛰게 하는 그녀는
나만의 hero
난 니꺼란 말야
loving you
소리쳐
I found love found love
늘 혼자 였던 내게
꿈처럼 다가와
with you
Listen
너의 엄마 아빠는
현존하시는 최고의 디자이너
너라는 cg를 만들어낸
매지컬 디자이너
어떤 꽃도 네 앞에선
말라버린 잡초
이런 느낌있는
느낌은 난 태어나서 최초
널 바라보면 달달해
카라멜 마끼아또
존재만으로도
땡큐 베리 감사 아리가또
이것 봐 넌 날 사로잡아
충성해 각을 잡아
너란 여자에게 중독됐어
I never can't stop",서태훈,2016.05.09,139,발라드
한없이 말해도 모자란,"오랜만에 엄마의
뒷모습을 보고
그 그림자가 살짝
굽은 걸 알았네
파마머리 흰 머리가
섞인 걸 보고
호호 웃는 그 미소에
왜 눈물이
그냥 살며시 안았네
어릴 적 업어주던 그 등과
안아주던 두 팔과
함박 웃음 짓던
잊을 수 없는 시간
사랑한다
한없이 말해도
한없이 불러도
모자란 그 이름
안경 찾는 아빠의
조금 마른 손
내 머릴 쓰다듬던
커다란 그 손은 어디에
일어날 때 어이구
허리야가 먼저
볼록 나온 배에 왜 눈물이
그저 살며시 안았네
어릴 적 업어주던 그 등과
안아주던 두 팔과
함박 웃음 짓던
잊을 수 없는 시간
사랑한다
한없이 말해도
한없이 불러도
모자란 그 이름",말하기듣기,2016.05.06,11,"발라드, 인디음악"
Tomorrow,"모두 그대로인데
너 없이 멈춰버린 기억
사라져
Another Day
이 노래로 말할게
I Don't Care
Tomorrow Tomorrow
믿어 의심하지 않아
너 하나면 괜찮아
내 사랑의 말로 이대로
네 옆자리 비워두지 않아
Waiting For Tomorrow
You
You
Waiting For Tomorrow
You
You
oh yeah
실은 잊혀질까봐
가끔 철없이 굴어
후회없이 온
My Way
이 자리 서 있을게
I Don't Care
Tomorrow Tomorrow
믿어 의심하지 않아
너 하나면 괜찮아
내 사랑의 말로 이대로
네 옆자리 비워두지 않아
Waiting For Tomorrow
하루가 꼭 일년 같아
너 없이는 말라버린 꽃잎처럼
내 심장이 다 재가 돼
Baby
지워진 사진 속 뒤로
추억마저 희미해져 가
너무 늦진 마
I Don't Care
Tomorrow Tomorrow
믿어 의심하지 않아
너 하나면 괜찮아
내 사랑의 말로 이대로
네 옆자리 비워두지 않아
Waiting For Tomorrow
You
You
Waiting For Tomorrow
You
You",스테파니 (STEPHANIE),2016.05.06,369,발라드
너를 위한 노래,"움추러든 어깨
흔들리던 머릿결
여전히 널 감추고
기대려하지 않아
더는 나아질 게 없고
그저 살아가는 일
니가 원했던 시간들은
거기 있을까
너에겐 희미해진 기억
우리가 가진 더 많은 꿈들
기억해 니가 필요해
다시 너를 안아줘
주저앉고 싶은
너를 일으켜줄 노래
너를 웃게 해줄 수 있어
너를 향한 모든 것들
지금 이대로
소중한 기억만을
전하고 싶어
바람이 불어
내 맘 가득
널 그리워했어
빗소리마저
아름다운 밤
너는 말하겠지
지나 갈 뿐이라고
뻔한 얘기로 위로 받고
싶지 않았어
너에겐 희미해진 기억
우리가 가진 더 많은 꿈들
기억해 니가 필요해
다시 너를 안아줘
주저앉고 싶은
너를 일으켜줄 노래
너를 웃게 해줄 수 있어
너를 향한 모든 것들
지금 이대로
소중한 기억만을
전하고 싶어
끝나지 않을
너를 위한 나의 노래
시간은 흐르고 있어
아득했던 시간 속을
지나왔을 때
좋았던 추억만이
남아 있기를",윤상현,2016.05.07,47,발라드
그대에게,"하얗게 빛나는 눈물
까만 네 눈동자 속에
가득 담긴 그 행복을
잊지 않을게
그토록 꿈꿔온 오늘
고운 네 손가락만큼
아름다운 그런 날이야
그렇지 않니
그대여 나의 노래여
나의 꽃이여 나의 사랑
그대여 나의 노래여
나의 꽃이여 나의 사랑
이렇게 여기에 있어
잡은 손 놓지 않을게
뒤돌아 보지 않을게
곁에 있을게
그대여 나의 노래여
나의 꽃이여 나의 사랑
그대여 나의 노래여
나의 꽃이여 나의 사랑 오 그대
네가 웃어야 난 웃을 수 있어
네가 있어야 나는 살 수 있어
너의 미소에 비치는 세상을
이렇게 지켜 줄 수만 있다면
나의 꽃이여 나의 사랑 오
그대여 나의 노래여
나의 꽃이여 나의 사랑
그대",모카 (MOCHA),2016.05.09,253,발라드
Honey My Love,"추운 겨울 지나 따뜻한 햇살
sunshine love
날 비추듯 포근해지는 날들
밖에 나가는 게 좋아
손을 잡고 걸어갈래
둘이서 너와 나 우리
사랑은 바람 속에 담겨 와
꽃이 피게 만들어
내 마음에 사랑의 씨앗을 심었어
그댈 피어나게 해
꿀처럼 달콤하게 내 몸 가득
향기가 퍼져 기분이 좋아
나나 나나나 나나 나나나 honey honey my love
두근두근 Get to know
흩날리는 꽃길 위에서 우리
sunshine love
마주보며 걷는 이 느낌 좋아
밖에 나가는 게 좋아
손을 잡고 걸어갈래
둘이서 너와 나 우리
사랑은 바람 속에 담겨 와
꽃이 피게 만들어
내 마음에 사랑의 씨앗을 심었어
그댈 피어나게 해
꿀처럼 달콤하게 내 몸 가득
향기가 퍼져 기분이 좋아
스르륵 스르륵 포근한 그대 품에
스르륵 스르륵 잠들고만 싶은데
사랑은 바람 속에 담겨 와
꽃이 피게 만들어
내 마음에 사랑의 씨앗을 심었어
그댈 피어나게 해
꿀처럼 달콤하게 내 몸 가득
향기가 퍼져 기분이 좋아
나나 나나나 나나 나나나 honey honey my love
두근두근 Get to know",란 (RAN),2016.05.09,161,발라드
오늘밤도 굿나잇,"오늘 하루는
어떻게 지내었을까
너의 힘없는
말투 속에 섞인 한숨이
너의 하루를 이야기하지
오늘 하루는
얼마나 힘들었을까
터덜터덜 걸어가는
너의 발걸음
오늘 하루를 이야기하지
내 품 안에서 편히 쉬어요
그대 힘든 기억 모두 잊고서
오늘밤도 굿나잇
내 품 안에서
편히 쉬어요
그대 힘든 기억
모두 잊고서
오늘밤도 굿나잇
내 품 안에서
편히 쉬어요
그대 힘든 기억
모두 잊고서
오늘밤도 굿나잇
오늘밤도 굿나잇
오늘밤도 굿나잇",스페셜티,2016.05.10,69,발라드
가슴에 외친다,"행복했던 아름다운 사랑이
이제 눈물만을 남겨두었죠
언제나 모든 것을 주었던 너
그게 소중한 줄 몰랐던 나야
지워보려고 그만 잊어보려고
사진을 한 장씩 지워봐도
가슴속에 이렇게 남아있는데
보고 싶다 또 그립다
오늘도 가슴에 외친다
다시 내게 돌아와 나 혼자 남기고
떠나지 마 네가 없는 내 삶이
힘들고 지쳐 쓰러질 것 같잖아
내 사랑이 너인 걸 아니까
다시 내게 돌아와 나 혼자 남기고
떠나지 마 그리움의 조각이
하루하루 널 널 찾고 있잖아
울면서 가슴에 외친다
지워보려고 그만 잊어보려고
추억을 하나씩 버려봐도
가슴속에 이렇게 남아있는데
보고 싶다 또 그립다
오늘도 가슴에 외친다
다시 내게 돌아와 나 혼자 남기고
떠나지 마 네가 없는 내 삶이
힘들고 지쳐 쓰러질 것 같잖아
울면서 가슴에 외친다
그래 나 이제 알 것 같아
사랑은 혼자가 아닌 걸
다시 나를 바라봐줘
돌아서도 내 사랑 결국 너잖아
다시 내게 돌아와 나 혼자 남기고
떠나지 마 네가 없는 내 삶이
힘들고 지쳐 쓰러질 것 같잖아
내 사랑이 너인 걸 아니까
다시 내게 돌아와 나 혼자 남기고
떠나지 마 그리움의 조각이
하루하루 널 널 찾고 있잖아
울면서 가슴에 외친다
아직도 그립다",2ffect,2016.05.10,56,발라드
내일이 찾아오면 (Inst.),"라라라라 라라라라라
라라라라 라라라라라
라라라라 라라라
라라라라 라라라
푸른 바다 저 멀리서
나를 부르는
파도처럼 밀려오는
너의 모습이
메마른 나의 마음속에
살며시 다가오면
잃어버린 시간속의
나의 꿈들이
하나둘씩 기억 속에
되살아나고
새로운 부푼 희망 속에
가슴은 설레이네
행복이란 멀게만 느껴지지만
우리 마음속에 있는 걸
언젠가는 너에게 말해줄 거야
내일이 찾아오면
너의 고운 두 손 가득히
나의 꿈을 담아 주고서
이대로의 너의 모습을
사랑하고 있다고
저기 멀리 보일 것 같은
우리만의 희망 찾아서
사랑스런 너의 꿈속에
언제나 달려가리
내 가슴에 불어오는
모래바람에
이름 모를 물새들의
날개짓 소리
눈부신 여름 바닷가에
아침이 밝아오네
그림자만 남아 있는
모습들 위로
먼 하늘에 달빛 하나
걸려갈 때면
노을 진 바다 가운데 선
마음은 꿈을 꾸네
사랑이란 낯설게 느껴지지만
마주보는 눈 속에 있어
언젠가는 너에게 말해줄 거야
내일이 찾아오면
너의 고운 두 손 가득히
나의 꿈을 담아 주고서
이대로의 너의 모습을
사랑하고 있다고
저기 멀리 보일 것 같은
우리만의 희망 찾아서
사랑스런 너의 꿈속에
언제나 달려가리
저기 멀리 보일 것 같은
우리만의 희망 찾아서
사랑스런 너의 꿈속에
언제나 달려가리",송하예,2016.05.10,66,발라드
눈물이 왈칵 (Feat. 박병규),"보고싶단 내 말에 작은 투정에
어디 있냐며 지금 간다고
그렇게도 좋았던 지난 시간들이
널 붙잡을 수 없게 흩어져
끝은 없을 거라 믿었던 순간들
차가워진 너의 이별의 말 앞에 난
얼어 붙었어
눈물이 왈칵 내려서 내 맘을 적셔
내 가슴을 적셔
그 많은 날들을
난 이제 너를 잊으려
짧은 편지에 널 위한 내 마음
가득 담아 오늘 태운다
영원할거라 믿었던 순간들
익숙한 니 향기 남겨진 내 그리움
삼켜야겠지
눈물이 왈칵 내려서 내 맘을 적셔
내 가슴을 적셔
그 많은 날들을
난 이제 너를 잊으려
짧은 편지에 널 위한 내 마음
가득 담아 오늘
한 걸음 또 한 걸음
점점 멀어져 가는데
사랑해 널
이젠 지운다 널 떠나 보낸다
눈물이 왈칵 내려서
내 맘을 적셔 내 가슴을 적셔
그 많은 날들을
난 이제 너를 잊으려
짧은 편지에 널 위한 내 마음
가득 담아 오늘 태운다",레스큐더비트,2016.05.11,40,발라드
