,제목,가사,장르
0,PSYCHO (Feat. Vahn of NINE.i),"불이 꺼진 뒤에 시작되는 game
시간이 지날수록 무뎌지는 pain
의심 속에 숨어 smiling
점점 미쳐가는 분위긴
네 숨통을 조여
Maybe you are the crime
더는 미련이 없는 apologize
날 움직일 수 있는 건 dollar sign
이건 나를 위한 무대 paradise
Who can define me 다 꺼져
I’m a psycho
뭐 쫄리면 뒤지셔 go home
Looking for a scapegoat
I’m a I’m a psycho
I’m a psycho 앞뒤가 다르다
누가 욕해, 날
밟고 지나갈 수 있으면 덤벼
all the lights off
밤이 되고 우린 서롤 겨눠
freaking psycho
I’m a psycho
Get away from me
I’m a freaking psycho
I’m a I’m a psycho
This is a purge
인생은 실전
잃을게 많아도 I'm not gonna pose
공들여 쌓아논 도미노 무너져 내려도
눈 깜짝 안 하는 패널
It’s freaking cold
상처받는 순간 너 죽어
난 절대 순진하지 않아 bad boy
때려 박아 총알 bullet proof
Maybe you are the crime
더는 미련이 없는 apologize
날 움직일 수 있는 건 dollar sign
이건 나를 위한 무대 paradise
Who can define me 다 꺼져
I’m a psycho
뭐 쫄리면 뒤지셔 go home
Looking for a scapegoat
I’m a I’m a psycho
I’m a psycho 앞뒤가 다르다
누가 욕해, 날
밟고 지나갈 수 있으면 덤벼
all the lights off
밤이 되고 우린 서롤 겨눠
freaking psycho
I’m a psycho
Get away from me
I’m a freaking psycho
I’m a I’m a psycho
I’m a freaking psycho
I’m a freaking psycho
Oh, I’m a freaking psycho
Oh, I’m a freaking psycho
I’m a freaking psycho",RNB
1,밤의 안녕,"어김없이 찾아온 이 밤과
소란한 하루 끝
너를 아프게 한 오늘은 오늘에게
그대로 놓아줘
어지러운 마음속
알 수 없는 기분이 든다면
짓누르던 슬픔 걱정은 다 잊은 채
잠들 수 있도록
오늘 난 당신의 방에
깊은 어둠을 내려 주고파
Oh 아무런 꿈 없이 포근하게
아득한 별빛도
당신의 밤의 안녕을 빌어요
수많은 고민 잠을 삼키고
두려움은 끝없이 커져만 가
편히 숨을 내쉬고 두 눈을 감아요
온전히 그대의 세상을 위해
오늘 난 당신의 방에
깊은 어둠을 내려 주고파
Oh 아무런 꿈 없이 포근하게
아득한 별빛도
당신의 밤의 안녕을 빌어요",RNB
2,그대로 (With. 주그레이스),"눈을 감아
너에 대한 기억이
내 속에서 희미해 질수록
나는 널 더 깊이 이해해
바람 흔들리며
햇빛 내려앉은 나무사이
날 바라봐주는 기억의 풍경속
잠시 몸을 담가
나, 여기
어떠한 끝도 없이
네가 내게 보여준 사랑과 같이
이제 널 마주봐
있는 그대로
지금 그대로
그늘 한 점
없는 눈부신 웃음
그 무엇도
날 끌어들이지 못해
왜 넌 날 떠나가지
않았는지
날 바라봐주는 기억의 풍경속
나 이곳에 남아
나, 여기
어떠한 끝도 없이
네가 내게 보여준 사랑과 같이
이제 널 마주봐
있는 그대로
지금 그대로",RNB
3,Running Out of Love (Feat. TRADE L),"We’re going round and round
round n round until
the end of time
if only we could be
in perfect harmony,
not wasting time
im just a poet with some
activision, no games
but i still want
a decent position, i
some people,
they just want attention
so you can catch me
running away from all the lies
peace and love,
thats all i want
but the way we live,
isnt enough
we’re all drowning in sadness
the look in your eye says it all
Running Out of Love
Running Out of Love
Running Out of Love
Running Out of Love
she got that vibe
playing blonde by frank ocean
running out of love
i've been looking
for my bestie
We can be the best team
ima tell you in every kind of way
And I want to be
called by my name
Probably I will be there
Meet me at the Seoul at 5
Running Out of Love
Running Out of Love
Running Out of Love
Running Out of Love",RNB
4,미어캣,"세상이 조금씩 빨갛게
물드는 시간이 될 때면
넌 아무 말 없이
창밖을 보았어
조금 어리숙한 마음으로
아무 말 없이 웅크리고 앉아
너를 바라보던 날 알고 있었니
hold me
조금만 더 stay with me
시간이 멈추지 않은걸
이제야 알았어
우린 나란히 누워 창밖을 봐
같은 곳을 바라봐 저기 많은 불빛
마치 미어캣처럼
미어캣처럼
우린 나란히 누워 창밖을 봐
같은 곳을 바라봐 저기 많은 불빛
마치 미어캣처럼
미어캣처럼
바다 위에 물든 햇빛을
바라보며 너와 걷다가
나도 모르게
내 마음도 울렁이었어
우린 나란히 누워 창밖을 봐
같은 곳을 바라봐 저기 많은 불빛
마치 미어캣처럼
미어캣처럼
우린 나란히 누워 창밖을 봐
같은 곳을 바라봐 저기 많은 불빛
마치 미어캣처럼
미어캣처럼
우린 나란히 누워 창밖을 봐
같은 곳을 바라봐 저기 많은 불빛
마치 미어캣처럼
미어캣처럼
우린 나란히 누워 창밖을 봐
같은 곳을 바라봐 저기 많은 불빛
마치 미어캣처럼
미어캣처럼",RNB
5,온기,"차가운 겨울보단
뜨거운 여름을
더 좋아하는 너니까
이 노래가 너에게
온기를 가져다줄 수 있다면
그럴 수 있다면
나를 바라볼 때
날 꽉 안아줄 때면
이 계절을 너로 다
채우고 싶어져
불안했던 내 맘에
넌 한줄기 빛이 되어
내 앞을 밝혀줬네
너의 그 따스한 온기
날 감싸 안으면 woo woo
얼었던 내 마음조차
녹아버릴지 몰라 woo woo
추위를 많이 타는 널 위해
이 노래를 쓰게 됐고
차가운 계절 속
서로의 온길 더
느낄 수 있도록
꽉 안아줘
길고 긴 터널 같던
나의 어두웠던 지난밤들
너로 인해서
이젠 비로소
온전해진 밤
너의 그 따스한 온기
날 감싸 안으면 woo woo
얼었던 내 마음조차
녹아버릴지 몰라 woo woo",RNB
6,달과별,"Look up the moon
and stars like this
Look up the moon
and stars like this
Look up the moon
and stars like this
Dosen't it so pretty
Dosen't it look like something
저 밤하늘을 봐
뭐 떠오르는 거 없어
저들은 밤이면 함께 하잖아
Every night they
awlays be together
마치 우리와 같아서
저들을 보면 기분이 좋아
매번 소리 지르고 싸우다가도
무슨 일 있었냐는 듯
같은 침대에서 같은 이불을 덮고
같은 밤을 보내지 every night
It so really similar
우리와 참 닮았어
What you think about it
how you feel about it
Look up the moon
and stars like this
Look up the moon
and stars like this
Look up the moon
and stars like this
Dosen't it so pretty
Dosen't it look like something
Let’s go higher,
Let’s shine brighter
저들보다 더 높은 곳에서
저들 보다 더 밝게 비춰줘
온 세상에 우리 사랑도
저들처럼 전해지게
오늘 밤 꿈속에선
로켓을 타고 저들에게 가
별빛들에 둘러 쌓여
우주를 맞이하게 될거야
작은 프랑스 함께 봤던
어린왕자와 인사를 나누고
저들에게 우리 이야기를
들려주고 올거야
Look up the moon
and stars like this
Look up the moon
and stars like this
Look up the moon
and stars like this
Dosen't it so pretty
Dosen't it look like something",RNB
7,LINGER,"Good morning,
It’s so nice weather
My sky blue sweater
looks better than ever
90’s songs on my ear,
Everything is perfect for today,
Here’s so many fashion killa
in this cafe
But you messed up my mood
I can’t control my move
My face is getting hot like a soup
I’m done my juice,
Oh it’s little lingered
I’m only watching my finger
Gotta get some more drink,
Actually she’s a cashier here
Do I regret if i go back
without your any contacts
like instagram?
Actually I don’t drink
coffee of chains,
But these days,
I only drink here’s coffee
I don’t care,
It ain’t that safer brand
Now My plan is changed,
I’m going crazy
I have no idea
to win this game
Hardcore challenge
on the perfect day
I’m only looking
at the lingered drink
Poker face, I’m not that brave,
If i quit it then she might be
Lingered lingered lingered
lingered like this drink
Lingered lingered lingered
like this drink
If i go back with this mind,
Do i regret?
Now I can’t be sure,
Is it right moment?
Lingered lingered lingered
lingered like this drink
Lingered lingered lingered
like this drink
If i go back with this mind,
Do i regret?
Now I can’t be sure,
Is it right moment?
Simulating, I’m simulating
Am I 18? Why act like high-teen
Simulating, I’m simulating
Am I 18? Why act like high-teen
Bring my good day,
I got a lotta quests today,
I need to focus on my duties
but your face is keep
popping on my desk
But why am I smiling,
Hey concentrate it
Do like a pro, Don’t act
like a amateur,
Please do the math
It’s been a while
to feel my heartbeat
I’ve felt that I’m a puppet
But I ain’t got no topic
to talk with you
So im copying it from the blog
but it’s all bubble,
All ideas sounds like a taboo
“Do you like Marvels?”
Oh shit, where do i get
this dumb idea eww
I have no idea
to win this game
Hardcore challenge
on the perfect day
I’m only looking
at the lingered drink
Poker face, I’m not that brave,
If i quit it then she might be
Lingered lingered lingered
lingered like this drink
Lingered lingered lingered
like this drink
If i go back with this mind,
Do i regret?
Now I can’t be sure,
Is it right moment?
Lingered lingered lingered
lingered like this drink
Lingered lingered lingered
like this drink
If i go back with this mind,
Do i regret?
Now I can’t be sure,
Is it right moment?
Simulating, I’m simulating
Am I 18? Why act like high-teen
Simulating, I’m simulating
Am I 18? Why act like high-teen",RNB
8,이번 크리스마스,"오늘 하루 떠나볼까
매일 지루한 일상 속에 살고 있는데
너의 하루들을 나 고민하고 싶은데
Cause i don’t wanna
live without U i say
Baby 어서 빨리 말해 나의 어깨
빌려줄게 너가 힘들 때
I don’t wanna let you go yeah
같이 하늘 아래 누워서 말했어
넌 별처럼 빛나 아름답게
And this Christmas
너의 마음과 나의 마음이
전부 물들었으면 해
It feels like Christmas
오늘 밤과 나의 생각들을
다 모두 전해줄게 나
When you’re lonely
and you feel me In my room
금방 달려갈게 모든 걸 미뤄도
어떻게 되겠지는 아니야
책임은 질게 Feel like deep option
전부 다 널 위해 생각해 볼게
We’re ride a boat in the sky
And this Christmas
너의 마음과 나의 마음이
전부 물들었으면 해
It feels like Christmas
오늘 밤과 나의 생각들을
다 모두 전해줄게 나
And this Christmas
너의 마음과 나의 마음이
전부 물들었으면 해
It feels like Christmas
오늘 밤과 나의 생각들을
다 모두 전해줄게 나
다 전해줄게 feels like Christmas
this Christmas",RNB
9,노을안에서,"I can't wating for that time
I`m never lying
Really i still try
밤을 새며 cried
Shawty why you hide
I only for you kind
아직 있는 1에 died
We got a room and loving all day
Dancing to the carol
Don't de a shy
You're pretty much better
wah wah
I didn't forget never
wah wah
I swear for 이 carol
한 발만 더 다가와 넌
하얀 눈 같은
내 마음을 물들여줘
언젠간 이 겨울 지나
녹아내릴 흰 눈이어도
거짓 없이 좋아할게 널
수많은 사람들 속에
흰 눈이 쌓이던
이 겨울 안에서
난로를 피우며
소파에 기대어서
선물을 기다려 우리라는 노을 안에서
우린 흰 눈이 쌓인
이 거리를 걷고 있어
희미하게 들리는 캐롤이
우리를 위해 만들어진 선물 같아
노을이 저물어가는
겨울 안에 흰 눈이 쌓이면
난로에 기대어서 따뜻한 기분으로
선물이 돼줄게 좋았던 기억만 담아서
너와 손잡고 걷던
우리 처음 만난 길
추억 설렘이 느껴져
조금 더 다가와 주겠니
이대로 우리
오늘 이 겨울 안에서
수많은 겨울들 중에
우리의 사랑은
이 계절 안에서
노래를 부르네 난로의 온기에
기대어 기다려 우리들의 추억 안에서
노을이 저물어가도
우리들은 이 겨울안에서
차가운 바람에도 서로에게 기대어
사랑해 오늘 너 우리라는 추억안에서
ay
yea it's a sunset sound
Wah
우리를 found
올해가 지나가도 call on
전화기는 계속 켜져 있으니까
talk more
들어와 cozy door
여기는 love store
우리를 담을 밤은 정해놨어
여기 노을안에서",RNB
