,제목,가사,장르
0,홍시 (울엄마) (나훈아),"생각이 난다 홍시가 열리면
울엄마가 생각이 난다
자장가 대신 젖가슴을 내주던
울엄마가 생각이 난다
눈이 오면 눈 맞을 세라
비가 오면 비 젖을세라
험한 세상 넘어질세라
사랑 땜에 울먹일세라
그리워진다 홍시가 열리면
울엄마가 그리워진다
눈에 넣어도 아프지도 않겠다던
울엄마가 그리워진다
생각이 난다 홍시가 열리면
울엄마가 생각이 난다
회초리 치고 돌아앉아 우시던
울엄마가 생각이 난다
바람 불면 감기 들세라
안 먹어서 약해질세라
힘든 세상 뒤쳐질세라
사랑 땜에 아파할세라
그리워진다 홍시가 열리면
울엄마가 그리워진다
생각만 해도 눈물이 핑 도는
울엄마가 그리워진다
생각만 해도 가슴이 찡하는
울엄마가 그리워진다
울 엄마가 생각이 난다
울 엄마가 보고파진다",트로트
1,해야 해야,"하늘을 바라보며 청춘을 생각하니
바람이 부는 대로 그렇게 걸어 왔네
하늘의 하늘의 해야 너는 식지 않는
청춘 메마른 내 청춘에 너의 빛을주렴
무엇을 사랑하고 무엇을 얻어야 하나
세상의 모든 것이 다 내것은 아니라네
하늘의 하늘의 해야 너는 꿈을 안은
불꽃 메마른 내 인생에 너의 빛을주렴

해 해야 해야 내가 간다
너를 품으려 내가 날아 간다
해 해야 해야 내가 간다
간다 간다 새가 되어 간다
해 해야 해야 내가 간다
꿈을 찾아서 내가 날아 간다
해 해야 해야 내가 간다
간다 간다 새가 되어 간다

어디로 가야하고 어디로 날아야 하나
세상의 모든 것이 다 내 것은 아니라네
하늘의 하늘의 해야 너는 식지 않는
청춘 내청춘 새가 되어 네 곁으로 간다

해 해야 해야 내가 간다
너를 품으려 내가 날아 간다
해 해야 해야 내가 간다
간다 간다 새가 되어 간다
해 해야 해야 내가 간다
꿈을 찾아서 내가 날아 간다
해 해야 해야 내가 간다
간다 간다 새가 되어 간다
해 해야 해야 내가 간다
너를 품으려 내가 날아 간다
해 해야 해야 내가 간다
간다 간다 새가 되어 간다
해 해야 해야 내가 간다
꿈을 찾아서 내가 날아 간다
해 해야 해야 내가 간다
간다 간다 새가 되어 간다",트로트
2,언젠가 때가오면,"늦가을 오후 같은 쓸쓸한 분위기로
장미꽃 향기를 풍기는 그녀
먼발치에서 바라만보아도
왠지 모르게 내 가슴이 떨려요
어디서 살까 이름은 무얼까
우유빛 살결에 그 맑은 눈동자
거짓말처럼 나를 불러준다면
난 내인생을 걸겠어요
언젠가 때가오면
내 모든걸 주겠어요
언젠가 때가오면
늦가을 오후 같은 쓸쓸한 분위기로
장미꽃 향기를 풍기는 그녀
먼발치에서 바라만보아도
왠지 모르게 내 가슴이 떨려요
어디서 살까 이름은 무얼까
우유빛 살결에 그 맑은 눈동자
거짓말처럼 나를 불러준다면
난 내인생을 걸겠어요
언젠가 때가오면
내 모든걸 주겠어요
언젠가 때가오면
언젠가 때가오면",트로트
3,문을 열어,"볼때마다 좋아지는 그녀 사랑하고 싶어
나는 지금 온 몸이 달아 오르네
왜그런지 까닭을 몰라
그 눈속에 빨려들것 같아
한밤중에 보고싶은 그녀 눈에 아른거려
수화기를 들다가 다시 놓았네
왜 이렇게 가슴이 뛸까
나의 마음 어쩔줄을 몰라
내가 좋아한다 말하려하면
심각한 표정으로 고개 돌리고
괜히 슬픈얼굴 지어보이며
언제나 생글생글 미소만 짓네
문을 열어 마음의 문을 열어
문을 열어 마음의 문을 열어
그문으로 가만히 내가 들어가게
아름다운 사람아 아름다운 사람아
내가 들어가게 그 마음의 문을 열어

한밤중에 보고싶은 그녀 눈에 아른거려
수화기를 들다가 다시 놓았네
왜 이렇게 가슴이 뛸까
나의 마음 어쩔줄을 몰라
내가 좋아한다 말하려하면
심각한 표정으로 고개 돌리고
괜히 슬픈얼굴 지어보이며
언제나 생글생글 미소만 짓네
문을 열어 마음의 문을 열어
문을 열어 마음의 문을 열어
그문으로 가만히 내가 들어가게
아름다운 사람아 아름다운 사람아
내가 들어가게 그 마음의 문을 열어",트로트
4,돌이킬 수 없다면,"돌이킬 수 없다면
돌이킬 수 없다면
이대로 보내줘야지
이제와 잘잘못을
따져 무얼해
이미 마음 돌아선 사람
잊어야 한다면
잊어야 한다면
진정 잊어야 한다면
너의 뒷모습
가슴 아파도
추억마저 보내줘야지
돌이킬 수 없다면
이대로 보내줘야지
때늦은 애원일랑
해서 무얼해
이미 마음 돌아선 사람
잊어야 한다면
잊어야 한다면
진정 잊어야 한다면
너의 뒷모습
가슴 아파도
추억마저 보내줘야지
잊어야 한다면
잊어야 한다면
진정 진정
잊어야 한다면
너의 뒷모습
가슴 아파도
추억마저 보내줘야지",트로트
5,아미새,"아름답고 미운새 아미새 당신
남자의 애간장만 태우는 여자
안 보면 보고 싶고 보면 미워라
다가서면 멀어지는
아름다운 미운새
아미새 아미새
아미새가 나를 울린다
신기루 사랑인가
아미새야 아미새야
미워할 수 없는 새 아미새 당신
남자의 약한 마음 흔드는 여자
간다고 말만 하면 눈물 흘리네
떠나려면 정을 주는
아름다운 미운 새
아미새 아미새
아미새가 나를 울린다
신기루 사랑인가
아미새야 아미새야",트로트
6,빵빵,"덜컹 덜컹 달려간다
시골버스야 힘차게 달려간다
빵빵빵빵 기적을 울리며
신나게 달려간다
추억이 살아 숨 쉬는 이곳
내 고향 정든 시골길
옆집 뒷집 시골 아줌마
옆집 아저씨 언니 오빠들
다 태우고 달려간다
동쪽으로 가면 동해바다
서쪽엔 서해바다
남쪽에는 한라산 북쪽엔 백두산
달리고 달리고 달리고 달려라
내 꿈도 싣고 달려라
빵빵빵빵 기적을 울리며
시골버스 달려간다
빵빵빵빵 기적을 울리며
시골버스 달려간다
덜컹 덜컹 달려간다
시골버스야 힘차게 달려간다
빵빵빵빵 기적을 울리며
신나게 달려간다
추억이 살아 숨 쉬는 이곳
내 고향 정든 시골길
옆집 뒷집 시골 아줌마
옆집 아저씨 언니 오빠들
다 태우고 달려간다
동쪽으로가면 동해바다
서쪽엔 서해바다
남쪽에는 한라산 북쪽엔 백두산
달리고 달리고 달리고 달려라
내 꿈도 싣고 달려라
빵빵빵빵 기적을 울리며
시골버스 달려간다
빵빵빵빵 기적을 울리며
시골버스 달려간다
동쪽으로가면 동해바다
서쪽엔 서해바다
남쪽에는 한라산 북쪽엔 백두산
달리고 달리고 달리고 달려라
내 꿈도 싣고 달려라
빵빵빵빵 기적을 울리며
시골버스 달려간다
빵빵빵빵 기적을 울리며
시골버스 달려간다",트로트
7,사랑의 불꽃,"첫 눈에 빠지게하고
그렇게 딴청만 피우나요
이 가슴에 뜨겁게 타는
이 사랑은 어찌하라고
줄듯이 줄듯이
마음줄듯이
그래놓고 이러긴가요
사랑의불꽃을
재워줄 한 사람
오직 하나 그대 뿐인걸
사랑 사랑이 이런건가요
애가타고 속이 끓나요
첫 눈에 빠졌으면서
그렇게 아닌척 하나요
그 가슴에 뜨겁게 타는
그 사랑은 어찌하려고
줄듯이 줄듯이
마음줄듯이
그래놓고 이러긴가요
사랑의불꽃을
재워줄 한 사람
오직 하나 그대뿐인걸
사랑 사랑이 이런건가요
애가 타고 속이끓나요
애가 타고 속이끓나요",트로트
8,땡그랑,"예쁜 옷 챙기고 필드로 고고씽
가슴은 벌써 두근두근 뛰고 있어
오늘따라 오예 느낌이 좋아
하늘 위엔 뭉게구름 날 반기고
카트 안에 웃음꽃이 피어나요
저 푸른 그린 위로 굿샷굿샷
신이 나게 이제부터 주문을
외워보세요
땡그랑 땡그랑 땡그랑 쏙쏙
들어가라 땡그랑
머리는 들지마 땡그랑
안들어가면 한 번 더
땡그랑 땡그랑 땡그랑 쏙쏙
들어가라 땡그랑
큰일 나 알 까면 안되요
한번에 쏙쏙 사랑의 땡글 땡그랑
오비는 안돼요 버디는 좋아요
그늘집은 삶은 달걀이 최고야
캐디 언니 이뻐 기분이 좋아
회원님 이러시면 안됩니다
어딜봐요 정신집중 해주세요
애꿎은 전화번호
따시려다 쌩크나요
이제부터 주문을 외워보세요
땡그랑 땡그랑 땡그랑 쏙쏙
들어가라 땡그랑
머리는 들지마 땡그랑
안들어가면 한 번 더
땡그랑 땡그랑 땡그랑 쏙쏙
들어가라 땡그랑
큰일나 알 까면 안되요 다함께 외쳐
오늘도 쏙쏙 내일도 쏙쏙
사랑의 땡글 땡그랑",트로트
9,미련의 부르스,"아무 말 하지 말고 그냥 가세요
붙잡진 않겠어요
이 순간이 괴로워도
잊으면 그만이니까
사랑이 사랑이 뭔지
이별이 이별이 뭔지
흐르는 세월이 알게 될거야
먼훗날 우리가 서로
우연히 만난다 해도
너무 너무 오랜 세월에
서로가 변해버린 우리에 모습에
그때는 어떻게 하겠소
돌아선 마음을 돌릴 수 있다면
다시 다시 생각해 봐요
아무 말 하지 말고 그냥 가세요
붙잡진 않겠어요
이 순간이 괴로워도
잊으면 그만이니까
사랑이 사랑이 뭔지
이별이 이별이 뭔지
흐르는 세월이 알게 될거야
먼훗날 우리가 서로
우연히 만난다 해도
너무 너무 오랜 세월에
서로가 변해버린 우리에 모습에
그때는 어떻게 하겠소
돌아선 마음을 돌릴 수 있다면
다시 다시 생각해 봐요",트로트
