,제목,가사,장르
0,Jane,"Jane
스쳐간 그녀의 향기가 너무나 떨려와
스쳐간 그녀의 눈빛이 너무나 떨려와
라 라라 라라라라 라라라
라 라라 라라라라 라라라라라라랄
라 라라 라라라라 라라라
라 라라 라라라라 라라라라라라랄
검은 눈동잘 알지만
볼 수 없어 부르지못해
검은 너의 눈동자
Jane
스쳐간 그녀의 향기가 너무나 떨려와
스쳐간 그녀의 눈빛이 너무나 떨려와
라 라라 라라라라 라라라
라 라라 라라라라 라라라라라라랄
라 라라 라라라라 라라라
라 라라 라라라라 라라라라라라랄
라 라라 라라라라 라라라
라 라라 라라라라 라라라라라라랄
라 라라 라라라라 라라라
라 라라 라라라라 라라라라라라랄
검은 눈동잘 알지만
볼 수 없어 부르지못해
검은 너의 눈동자",록메탈
1,아웃사이더,"더부룩한 머리에 낡은 청바지
며칠씩 굶기도 하고
검은색 가죽점퍼 입고 다녀도
손엔 하이데거의 책이 있지
다들 같은 모양의 헤어스타일
유행 따라 옷을 입고
다른 이의 시선을 신경 쓰는 것은
개성 없어 보여 싫지
그것은 세상 어느 곳엘 가도
누구나 갖고 있는 것이잖아
누구의 이해도 바라질 않고
지난 일에 집착하지 않아
아무도 이해 못할 말을 하고
돌아서서 웃는 나는 아웃사이더
명예도 없고 금전도 없어
자존심이 있을 뿐이야
쾡하니 검게 반짝이는 눈은
로트렉의 그림을 보네
그것은 세상 어느 곳엘 가도
누구나 갖고 있는 것이잖아
누구의 이해도 바라질 않고
지난 일에 집착하지 않아
아무도 이해 못할 말을 하고
돌아서서 웃는 나는 아웃사이더
그것은 세상 어느 곳엘 가도
누구나 갖고 있는 것이잖아
누구의 이해도 바라질 않고
지난 일에 집착하지 않아
아무도 이해 못할 말을 하고
돌아서서 웃는 나는 아웃사이더
누구의 이해도 바라질 않고
지난 일에 집착하지 않아
아무도 이해 못할 말을 하고
돌아서서 웃는 나는 아웃사이더",록메탈
2,우리가 이렇게 된 건 전부 너 때문이야,"니가 나를 정말 좋아해줬다면
나의 작은 차를 좋아해줬다면
너의 못생겼던 손을
좋아했을 지도 몰라
니가 나를 정말 이뻐 해줬다면
나의 작은 키를 이뻐 해줬다면
너의 쉬지 않던 입을
이뻐 했을 지도 몰라
it's alright
it's cool
어쨋든 이젠 모두 끝난 얘기
it's alright
it's cool
어쨋든 우린 안맞는단 얘기
기억해 내가 오늘 술에 취해
속좁아 이러는 건 절대 아냐
그저 오늘 밤은 조금
니가 생각났을 뿐이야
니가 나를 정말 이해 해줬다면
나의 익숙함을 이해 해줬다면
너의 아는 오빠들을
이해했을 지도 몰라
니가 나를 정말 용서해줬다면
나의 지루함을 용서해줬다면
밤새 꺼진 너의 전화를
용서했을 지도 몰라
it's alright
it's cool
어쨋든 이젠 모두 끝난 얘기
it's alright
it's cool
어쨋든 우린 안맞는단 얘기
기억해 내가 오늘 술에 취해
속좁아 이러는 건 절대 아냐
그저 오늘 밤은 조금
니가 생각났을 뿐이야
눈으로 바라보는 나의 모습
눈으로 기억하는 나의 모습
그건 내가 아니야
진짜 내가 아니야
눈으로 바라보는 나의 모습
눈으로 기억하는 나의 모습
진짜가 아니야
it's alright
it's cool
어쨋든 이젠 모두 끝난 얘기
it's alright
it's cool
어쨋든 우린 안맞는단 얘기
기억해 내가 오늘 술에 취해
속좁아 이러는 건 절대 아냐
그저 오늘 밤은 조금
니가 니가 조금 아주 아주 조금
정말 정말 조금 진짜 진짜 조금
니가 생각났을 뿐이야",록메탈
3,황홀경 (New Ver.),"처음 본 순간 넌 이미
내 심장을 베어 물고
우린 이 순간 뜨겁게
리듬 속에 녹아드네
아찔하게 너에게 빠져들고
황홀하게 입술은 고백하네
너의 노래가 우연히
내 귓가에 찾아 들고
우린 이 순간 끝없이
구름 위로 떠오르네
음악 속에 너와 난 빠져들고
황홀하게 입술은 고백하네
I want
I love
I miss
I see
I need
I wish you
I want
I love
I miss
I see
I need
I wish you
I want
I love
I miss
I see
I need
I wish you
I want
I love
I miss
I see
I need
I wish you",록메탈
4,비가 내리네,"잿빛 하늘에 떠도는 빨간 구름
비가 올 것 같아 나는 우산이 없네
비릿한 와인 맛의 비가 내리네
비가 내리네 비가 내리네
오염된 나를 씻겨줄 비가 내리네
비가 내리네 비가 내리네
나는 우산이 없네
새빨간 입술에 생머리 예쁜 소녀
미친 듯 춤을 추며 비를 기다리네
좁은 욕조 속에 귀 먹은 달팽이
썩은 개구리 비를 기다리네
비릿한 와인 맛의 비가 내리네
비가 내리네 비가 내리네
오염된 나를 씻겨줄 비가 내리네
비가 내리네 비가 내리네
나는 우산이 없네
비가 내리네 오
비가 내리네 오
비가 내리네 오
비가 내리네 오
비가 내리네 오
비가 내리네 오
비릿한 와인 맛의 비가 내리네
비가 내리네 비가 내리네
오염된 나를 씻겨줄 비가 내리네
비가 내리네 비가 내리네
나는 우산이 없네
오염된 나를 씻겨줄 비가 내리네
나는 우산이 없네",록메탈
5,Rock'N' Roll Day,"Today is Rock and Roll day
Today is Rock and Roll day
All day is Rock and Roll day
Oh Yeah
Holiday is Rock and Roll day
Birthday is Rock and Roll day
All day is Rock and Roll day
Oh Yeah
Rainy day is Rock and Roll day
Blue day is Rock and Roll day
All day is Rock and Roll day
Oh Yeah Wow
Wo Wo Wo Wo
아싸라비아
Wo Wo Wo Wo
콜럼비아
Wo Wo Wo Wo
깐따삐야
Wo Wo Wo Wo
Rock and Roll day Tonight Yeah
Monday is Rock and Roll day
Tuesday is Rock and Roll day
Wednesday is Rock and Roll day
Oh Yeah
Thursday is Rock and Roll day
Friday is Rock and Roll day
All day is Rock and Roll day
Oh Yeah
Wo Wo Wo Wo
아싸라비아
Wo Wo Wo Wo
콜럼비아
Wo Wo Wo Wo
깐따삐야
Wo Wo Wo Wo
Rock and Roll day Tonight Yeah
Today is Rock and Roll day
Today is Rock and Roll day
All day is Rock and Roll day
Oh Yeah
Today is Rock and Roll day
Today is Rock and Roll day
All day is Rock and Roll day
Oh Yeah
Today is Rock and Roll day
Today is Rock and Roll day
All day is Rock and Roll day
Oh Yeah
Today is Rock and Roll day
Today is Rock and Roll day
All day is Rock and Roll day
Oh Yeah",록메탈
6,금지곡,"인생 별거 아니예요
살아보니 거기서 거기예요
서로들 미워하지 말아요
그렇게 미워해서 뭐 할래요
인생 그거 별거 아니예요
서로 서로 아껴주세요
그 사람이 그 사람이예요
동물들 학대하지 말아요
자연을 훼손하지 마세요
우리는 곧 떠날 몸이예요
죽을 만큼 잡고 싶고 갖고 싶고
하고 싶어 몸살 나고 안달 나고
날 버리고 널 버리고 망가지고
후회하고 또 후회하고 또 후회하고
인생 별거 아니예요
살아보니 거기서 거기예요
서로들 미워하지 말아요
그렇게 미워해서 뭐 할래요
인생 그거 별거 아니예요
인생 그거 별거 아니예요
인생 그거 별거 아니예요",록메탈
7,사람을 찾습니다,"안녕 먼 하늘을 날아온 새들이여
나는 어떤 아름다운
여인을 찾는 중이오
안녕 수천 년을 살아온 구름이여
나는 어떤 보석같은
여인을 찾는 중이오
그녀의 눈은 태양처럼
그 누구보다 빛나지
안녕 이 땅위를 살아온 생물들이여
나는 어떤 운명적인
여인을 찾는 중이오
그녀의 입이 웃을 때면
온 세상이 다 환하지
일년 또 일년 몇 번째 겨울인지
시간은 상관없소 난 갈테요
그 사람이 있는 곳 어딘진 모르지만
안녕 먼 하늘을 날아온 새들이여
나는 어떤 보석같은
여인을 찾는 중이오
그녀의 입이 웃을 때면
온 세상이 다 환하지
일년 또 일년 몇 번째 겨울인지
시간은 상관없소 난 갈테요
그 사람이 있는 곳 어딘진 모르지만
내겐 들려오는 목소리
내겐 들려오는 목소리 찾아서",록메탈
8,봄 여름 가을 겨울,"봄이 오면 강산에 꽃이 피고
여름이면 꽃들이 만발 하네
가을이면 강산에 단풍들고
겨울이면 아이들의 눈 장난
아 아름다운 아 우리강산
봄 여름 가을 오 겨울
해가 바뀌어도 변하지 않는
아름다운 우리 강산
해가 바뀌어도 변하지 않는
아름다운 우리 강산
봄 여름 가을 겨울
봄이 오면 강산에 꽃이 피고
여름이면 꽃들이 만발 하네
가을이면 강산에 단풍들고
겨울이면 아이들의 눈 장난
봄 여름 가을 오 겨울
해가 바뀌어도 변하지 않는
아름다운 우리 강산
해가 바뀌어도 변하지 않는
아름다운 우리 강산
봄 여름 가을 겨울
봄 여름 가을 겨울",록메탈
9,잊혀진 그 사람,"잊혀진 그 사람에게
나도 잊혀졌나봐
잊혀진 그 사람에게
모두 잠든 밤하늘에
별들이 떨어질 때면
그대 생각이 나
잠 못 들었죠
그렇게 우리
사라져버린 별과 같아서
전하지 못한 말들이
너무 많아요
잊혀진 그 사람에게
나도 잊혀졌나봐
잊혀진 그 사람에게
잊혀진 그 사람에게
나도 잊혀졌나봐
잊혀진 그 사람에게
그렇게 우린
갈 수 없었던
별과 같아서
까마득한 밤
저 우주 속을
헤메고 있죠
그렇게 우린
알 수 없는
별과 같아서 보지 못했죠
알지 못했죠 한참을
잊혀진 그 사람에게
나도 잊혀졌나봐
잊혀진 그 사람에게
잊혀진 그 사람에게
나도 잊혀졌나봐
잊혀진 그 사람에게
기억이 안나 잊혀졌나봐
어색한 그대 손
부끄럽던 눈빛까지
기억이 안나 기억이 안나
기억이 안나 기억이 안나
기억이 안나 기억이 안나
잊혀진 그 사람에게
나도 잊혀졌나봐
잊혀진 그 사람에게
잊혀진 그 사람에게
나도 잊혀졌나봐
잊혀진 그 사람에게",록메탈
