,제목,가사,장르
0,홀로 아리랑,"저 멀리 동해바다 외로운 섬
오늘도 거센 바람 불어오겠지
조그만 얼굴로 바람 맞으니
독도야 간밤에 잘 잤느냐
아리랑 아리랑 홀로아리랑
아리랑 고개를 넘어가 보자
가다가 힘들면 쉬어 가더라도
손잡고 가보자 같이 가보자
금강산 맑은 물은 동해로 흐르고
설악산 맑은 물도 동해 가는데
우리네 마음들은 어디로 가는가
언제쯤 우리는 하나가 될까
아리랑 아리랑 홀로아리랑
아리랑 고개를 넘어가 보자
가다가 힘들면 쉬어 가더라도
손잡고 가보자 같이 가보자
백두산 두만강에서 배 타고 떠나라
한라산 제주에서 배 타고 간다
가다가 홀로 섬에 닻을 내리고
떠오르는 아침 해를 맞이해보자
아리랑 아리랑 홀로아리랑
아리랑 고개를 넘어가 보자
가다가 힘들면 쉬어 가더라도
손잡고 가보자 같이 가보자
손잡고 가보자 같이 가보자",국악
1,아름다운 나라,"저 산자락에 긴 노을 지면
걸음걸음도 살며시 달님이 오시네
밤 달빛에도 참 어여뻐라
골목 골목 선 담장은 달빛을 반기네
겨울 눈 꽃이 오롯이 앉으면
그 포근한 흰 빛이 센바람도 재우니
참 아름다운 많은 꿈이 있는
이 땅에 태어나서 행복한 내가 아니냐
큰 바다 있고 푸른 하늘 가진
이 땅 위에 사는 나는 행복한 사람 아니냐
강 물빛 소리 산 낙엽 소리
천지 사방이 고우니 즐겁지 않은가
바람 꽃 소리 들풀 젖는 소리
아픈 청춘도 고우니 마음 즐겁지 않은가
참 아름다운 많은 꿈이 있는
이 땅에 태어나서 행복한 내가 아니냐
큰 바다 있고 푸른 하늘 가진
이 땅 위에 사는 나는 행복한 사람 아니냐
큰 추위를 견뎌낸 나무의 뿌리도
봄 그리운 맘으로 푸르다
푸르게 더 푸르게
수 만 잎을 피워내
한 줄기로 하늘까지 뻗어라
참 아름다운 많은 꿈이 있는
이 땅에 태어나서 행복한 내가 아니냐
큰 바다 있고 푸른 하늘 가진
이 땅 위에 사는 나는 행복한 사람 아니냐
아름다운 나라",국악
2,사랑가,"이얘 춘향아 나도 너를 업었으니
너도 나를 좀 업어다오
아이고 도련님도
도련님은 나를 가벼워 업었지만
나는 도련님이 무거워 어찌 업어요
얘야 그저 내 양팔만
네 어깨 위에 얹고
징검징검하고 걸어 다니면
그 속에 좋은 것들이 다
들어있느니라
이리 오너라 업고도 놀자
우리 오늘 밤 업고도 놀자
이 밤이 지나 우리 다시 헤어져도
너는 꽃이 되고 나는 나비 되어
훨훨 날아가리
네 곁에서 춤을 추리
하늘 아래 너보다 귀한 것은 없어
내 맘 안에 너 말곤 아무것도 없어
어화둥둥 내 사랑
어화둥둥 내 사랑
어화둥둥 내 사랑
닭아 닭아 우지 마라
니 아무리 바빠도
우지 말고 멈춰있어
이 밤이 가지 않게
평생이 이 밤 같게
사랑 사랑 내 사랑아
사랑 사랑 내 사랑아
이리 보아도 저리 보아도 내 사랑
사랑 사랑 내 사랑아
사랑 사랑 내 사랑아
You You
사랑 사랑 내 사랑아
사랑 사랑 내 사랑아
이리 보아도 저리 보아도 내 사랑
사랑 사랑 내 사랑아
사랑 사랑 내 사랑아
You 내 사랑
워어어어 어 어어 워어어
사랑 내 사랑아
워어어어 어 어어 워어어
사랑 내 사랑아
너어 너어으 내 사랑",국악
3,장산범 (Feat. 시유),"기억하지 우리 만나서
같이 놀자 약속했잖아
나야나 오랜 너의 친구
사소한건 눈감아줘
놀자 놀자 다시 놀자
긴밤 건너 내가 왔어
검은 두눈 밝게 뜨고
길고 하얀 기억 쥐고
문 앞까지 다다른 흉내쟁이가
내가 왔어 내가 돌아왔어
에헤 야이하
즐겁게 놀아보자
에헤 야이하
혀 위에서 놀자
이목 소리는
지나칠 수 없을테니
어서 열어줘
그 문을 열어줘
에헤야 라히야
에헤야 라히야
에헤야 라히야
에헤야 라히야
놀자놀자 마저놀자
심장고동 두근대니
장단빨라 흥겹구나
추억들을 떠올려라
시뻘건색 거대한입
거짓들을 벌려내고
새파랗게 질린겁이
진실들을 삼켜내니
머리 끝에 다다른 네발짐승이
내가 왔어 내가 돌아왔어
에헤 야이하
즐겁게 놀아보자
에헤 야이하
혀 위에서 놀자
이목 소리는
지나칠 수 없을테니
어서 열어줘
그 문을 열어줘
안 봐도 알지
흔들리는 눈동자
널뛰고 널뛰는 이성과 감정
그래도 좋아
덜덜대는 손 끝
너를 문 앞으로 이끄는 환청
열리는 문틈
그사이로 보인 건
만반의 미소
예헤 야이하
맛나게즐겨보자
예헤 야이하
혀위에서놀자
결국 믿음은
한입거리로 돌아와
환영 고마워
잘먹겠습니다
에헤야 라히야
에헤야 라히야
에헤야 라히야
에헤야 라히야
다음엔 너차례야
어떤 목소리일까
다음엔 너차례야
누굴 흉내내볼까",국악
4,뱃노래,"달은 밝고 명랑한데
고향생각 절로난다 절로난다
달은 밝고 명랑한데
고향생각 절로난다 절로난다
푸른 바다 배 띄우고
걱정일랑 바다에 떠나보내자
널따란 바다에 수많은 이야기가
두리둥 두리둥실 노래 부르고
부딪히는 파도소리 단잠을 깨우니
들려오는 노 젓 소리 처량도 허구나
오 사람이 살면은 몇 백 년이나 사리오
덧 없어라 내 인생
불어오는 바람위에 돛을 달고
어기어차 싸워만 가는 구나
어기야 어기야
어기야 차차 어기야
어기야 어기야
어기야 디어차 어기야
어기야 디어차 어기야
어기야 디어차 어기야
어기야 디어차 어기야
뱃놀이 가잔다 뱃놀이 가잔다
뱃놀이 가잔다 뱃놀이 가잔다
어기야 디어차 어기야
어기야 디어차 어기야
어기야 디어차 어기어차
뱃놀이 가잔다 뱃놀이 가잔다
뱃놀이 가잔다 뱃놀이 가잔다
어기야 디어차 어기야
어기야디야 어기야디야
어기야 디어차 어기야
어기야디야 어기야디야
어기야 디어차 어기야
어기야디야 어기야디야
어기야 디어차 어기야
어기야 어기야
아",국악
5,구름곶 여행,"구름곶 머리에 종소리 나더니
꿈을 가로질러 날 데려 가주네
여기 내 앞엔 망망한 대해라
날개를 펴고서 파도에 부딪혀
아이야 아이야 가보자
꿈의 여행이 아냐
아이야 아이야 가보자
꿈의 여행이 아냐
자유를 헤엄쳐 달을 안고서
나와 등대를 보며 이곳을 여행해
우리 이 앞엔 만만한 대해라
달이 갈 때까지 좀 더 같이 있자
아아아아 아아아
아아아아 아아아
아이야 아이야 가보자
꿈의 여행이 아냐
아이야 아이야 가보자
꿈의 여행이 아냐
아이야 아이야 가보자
꿈의 여행이 아냐
아이야 아이야 가보자
꿈의 여행이 아냐
아이야 아이야 가보자
꿈의 여행이 아냐
아이야 아이야 가보자
꿈의 여행이 아냐",국악
6,작야 (昨夜),"바람 소리 낡은 창가에
한숨처럼 깊기만 한데
마음은 동산에 뛰노네
정 둘 곳 없는 이 마음
한 없이 서툴던 지나간 시절처럼
다시 돌고 돌아오겠지
지고 또 피는 한 송이 꽃처럼
한숨은 뒤로한 채 이 밤을 보내네
십오야 둥근 달아 구름 속에 잠겼느냐
휘영청 밝은 달아 나도 함께 비춰주오
수많은 별들 속에 포근히 감싸주오
십오야 둥근 달아 구름 속에 잠겼느냐
휘영청 밝은 달아 나도 함께 비춰주오
수많은 별들 속에 포근히 감싸주오
한없이 춥던 겨울이 지나
아지랑이 흩날리는 봄이 오듯
이 밤새워 지는 저 달 보며
한없이 위로한 채 이 밤을 보내네
십오야 둥근 달아 구름 속에 잠겼느냐
휘영청 밝은 달아 나도 함께 비춰주오
수많은 별들 속에 포근히 감싸주오
십오야 둥근 달아 구름 속에 잠겼느냐
휘영청 밝은 달아 나도 함께 비춰주오
수많은 별들 속에 포근히 감싸주오
바람 소리 낡은 창가에
한숨처럼 깊기만 한데
마음은 동산에 뛰노네
정 둘 곳 없는 이 마음",국악
7,너영나영,"아침에 우는 새는 배가 고파 울구요
저녁에 우는 새는 임 그리워 운다
너영나영 두리둥실 놀구요
낮이낮이나 밤이밤이나
참사랑이로구나
호박은 늙으면 맛이나 좋구요
사람은 늙으면 무엇에나 쓰나
너영나영 두리둥실 놀구요
낮이낮이나 밤이밤이나
참사랑이로구나
저 달은 둥근 달 산 넘어 가는데
이 몸은 언제면 님 만나 함께 사나
너영나영 두리둥실 놀구요
낮이낮이나 밤이밤이나
참사랑이로구나
백록담 올라갈 땐 누이동생 하더니
한라산 올라가니 신랑각시가 된다
너영나영 두리둥실 놀구요
낮이낮이나 밤이밤이나
참사랑이로구나
너영나영 두리둥실 놀구요
낮이낮이나 밤이밤이나
참사랑이로구나
참사랑이로구나
참사랑이로구나",국악
8,매일 매일 기다려,"어둡고 탁한 나의 창에
비 내리는 밤에
우산을 쓰고 찾아와
세상에 제일 아름다운 미소로
나를 재우고 떠나버린 너
구름이 개어
북두칠성 반짝이는 밤엔
하늘을 보며 걸었어
이 밤도 그대
나에게로 돌아와 준다면
영원한 여행을 떠날 거야
그대 나를 나를 잊었나
그대 나를 진정
별이 뜨는 오늘밤도
비가 내리는 밤도
매일매일 기다려
매일매일 기다려
북천이 맑다커늘
우장 없이 길을 나니
산에는 눈이 오고 들에는 찬비로다
그대 나를 나를 잊었나
그대 나를 진정
별이 뜨는 오늘밤도
비가 내리는 밤도
매일매일 기다려
매일매일 기다려
매일매일 기다려
매일매일 기다려
매일매일 기다려
북천이 맑다커늘
우장 없이 길을 나니
북천이 맑다커늘
우장 없이 길을 나니
그대 나를 나를 잊었나
그대 나를 진정
별이 뜨는 오늘밤도
비가 내리는 밤도
매일매일 기다려",국악
9,희망의 아리랑,"아주 먼 옛날 우리를 비추던
밝은 달은 오늘도 저 하늘에
사람들 사는 소리 온 세상에 물들고
둥글게 흘러가는 노래를 부르자
계절이 가고 모습이 변해도
너와 나는 그대로 찬란한걸
새찬 바람 불어와 잠시 흔들릴 때
우리들의 노래를 부르자
아리아리랑 쓰리쓰리랑
아리아리랑 쓰리쓰리랑 아리아리랑
노랠 부르자 아리아리랑
조금 더 크게 쓰리쓰리랑
아주 작은 목소리가 하나 되어
아리아리랑 쓰리쓰리랑
노랠 부르면 아리아리랑
거짓말처럼 다시 쓰리쓰리랑
일어나서 빛을 볼 거야
아라리가 났네
힘들고 지쳐요
멀어져 가면 어째요
아득히 먼 길일지라도
우리함께 손잡고 노래를 부르자
아리아리랑 쓰리쓰리랑
아리아리랑 쓰리쓰리랑 아리아리랑
노랠 부르자 아리아리랑
조금 더 크게 쓰리쓰리랑
아주 작은 목소리가 하나 되어
아리아리랑 쓰리쓰리랑
노랠 부르면 아리아리랑
거짓말처럼 다시 쓰리쓰리랑
일어나서 빛을 볼 거야
노랠 부르자 아리아리랑
조금 더 크게 쓰리쓰리랑
아주 작은 목소리가 하나 되어
아리아리랑 쓰리쓰리랑
노랠 부르면 아리아리랑
거짓말처럼 다시 쓰리쓰리랑
일어나서 빛을 볼 거야
아라리가 났네
아리랑 아리랑 아라리요 아리랑
고개로 넘어간다
아리랑 아리랑 아라리요 아리랑
고개로 넘어간다
아리랑 아리랑 아라리요 아리랑
고개로 넘어간다
아리랑 아리랑 아라리요 아리랑
고개로 넘어간다
아리아리랑 쓰리쓰리랑
아라리가 났네
아리아리랑 음음음 아라리가 났네
아리아리랑 쓰리쓰리랑
아라리가 났네
아리아리랑 음음음 아라리가 났네
아라리가 났네",국악
